#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.750000,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.372349,-0.038863
1.348354,-0.041826
1.352209,-0.038932
1.250732,-0.040074
1.251273,-0.037849
1.206541,-0.035477
1.177049,-0.032242
1.124034,-0.029392
1.062484,-0.027807
1.047318,-0.024172
0.990067,-0.021125
0.952268,-0.017794
0.912318,-0.013959
0.852557,-0.011190
0.808823,-0.008302
0.759791,-0.005697
0.664323,-0.006943
0.649495,-0.005819
0.621655,-0.003048
0.530355,-0.004374
0.543038,-0.000807
0.359013,-0.008335
0.470508,-0.001636
0.487539,0.001485
0.391280,0.006570
0.244318,0.010850
0.226259,0.011005
0.188350,0.011546
0.134468,0.011207
0.104928,0.011965
0.061233,0.013043
0.021466,0.014003
-0.030941,0.015149
-0.072323,0.016037
-0.119423,0.016846
-0.166774,0.017665
-0.206699,0.018639
-0.254606,0.019366
-0.314523,0.019218
-0.367576,0.018460
-0.383876,0.019754
-0.452153,0.019276
-0.490449,0.019280
-0.533826,0.019676
NaN,NaN
-0.506733,0.019144
-0.480022,0.017524
-0.432586,0.016050
-0.385162,0.014586
-0.337057,0.013457
-0.286554,0.012552
-0.240939,0.012001
-0.196128,0.011376
-0.147081,0.010722
-0.103935,0.010343
-0.057910,0.009836
-0.010756,0.009381
0.030665,0.008928
0.071628,0.007970
0.116446,0.006854
0.165978,0.006060
0.203924,0.004758
0.281388,0.006105
0.315143,0.006377
0.353430,0.005910
0.369629,0.003900
0.416706,0.001606
0.477880,0.000772
0.531354,0.000490
0.570596,-0.000163
0.615750,-0.000830
0.655409,-0.002314
0.702097,-0.003298
0.743394,-0.004680
0.791336,-0.005920
0.832096,-0.007621
0.877539,-0.008883
0.914563,-0.010801
0.962261,-0.012666
1.004883,-0.014502
1.039773,-0.017305
1.073410,-0.021025
1.120064,-0.024498
1.173315,-0.027453
1.204075,-0.031266
1.263360,-0.034408
1.304691,-0.037382
1.367554,-0.039224
1.427248,-0.039909
NaN,NaN
