#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.570000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.390488,-0.058327
1.383007,-0.057058
1.363455,-0.053054
1.312683,-0.042020
1.261559,-0.031090
1.211609,-0.020807
1.158649,-0.010690
1.105929,-0.001710
1.046296,0.006604
0.984404,0.012647
0.943140,0.015083
0.917394,0.016131
0.876961,0.017533
0.830686,0.018475
0.776815,0.019204
0.733282,0.019551
0.685195,0.019872
0.639702,0.020028
0.589747,0.020201
0.547913,0.020291
0.501921,0.020381
0.453247,0.020434
0.409042,0.020483
0.364082,0.020521
0.319841,0.020557
0.275113,0.020572
0.225786,0.020594
0.186119,0.020629
0.137324,0.020644
0.094401,0.020658
0.051564,0.020650
0.003869,0.020673
-0.039336,0.020666
-0.087277,0.020670
-0.130298,0.020658
-0.179166,0.020685
-0.218213,0.020665
-0.266951,0.020669
-0.310836,0.020669
-0.359273,0.020681
-0.403153,0.020677
-0.446917,0.020663
-0.489493,0.020665
-0.536187,0.020666
NaN,NaN
-0.500010,0.020605
-0.462833,0.020572
-0.410534,0.020495
-0.367251,0.020464
-0.319301,0.020394
-0.280771,0.020354
-0.228556,0.020248
-0.185129,0.020203
-0.146415,0.020147
-0.095863,0.020022
-0.053418,0.019950
-0.007259,0.019826
0.039184,0.019708
0.080928,0.019627
0.126619,0.019485
0.173618,0.019331
0.217081,0.019212
0.263990,0.019008
0.307397,0.018871
0.354105,0.018644
0.401293,0.018410
0.444104,0.018247
0.484819,0.018044
0.532060,0.017632
0.575807,0.017343
0.618362,0.016970
0.660064,0.016543
0.706582,0.015749
0.749342,0.014925
0.789594,0.013882
0.832817,0.012332
0.873351,0.010559
0.913272,0.008345
0.952179,0.005755
0.992185,0.002510
1.029052,-0.000913
1.067220,-0.004982
1.143204,-0.014428
1.207240,-0.022601
1.257328,-0.029148
1.298099,-0.034893
1.346684,-0.042005
1.385348,-0.049135
1.427286,-0.057666
NaN,NaN
