#ID:	1
#type:	Set light intensity
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
##Sample IR temperature:	[22.410000,22.570000
] °C
##Environment temperature:	[22.549999,22.540001
] °C
##Humidity:	[55.980000,55.919998
] %
##Light intensity:	[0.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#wavelength (nm),intensity (1)
1092.968750,0.292546
1095.937500,0.240547
1098.906250,0.201871
1101.875000,0.171115
1104.843750,0.145084
1107.812500,0.131726
1110.781250,0.109557
1113.750000,0.088149
1116.718750,0.074128
1119.687500,0.062532
1122.656250,0.035740
1125.625000,0.030134
1128.593750,0.019667
1131.562500,0.004601
1134.531250,0.000009
1137.500000,0.000010
1140.468750,0.000011
1143.437500,0.000012
1146.406250,0.000016
1149.375000,0.000016
1152.343750,0.000015
1155.312500,0.000016
1158.281250,0.000014
1161.250000,0.000010
1164.218750,0.000008
1167.187500,0.000008
1170.156250,0.000014
1173.125000,0.000011
1176.093750,0.000014
1179.062500,0.000019
1182.031250,0.000022
1185.000000,0.000024
1187.968750,0.000026
1190.937500,0.000019
1193.906250,0.000024
1196.875000,0.000028
1199.843750,0.000027
1202.812500,0.000029
1205.781250,0.000039
1208.750000,0.000038
1211.718750,0.000035
1214.687500,0.000030
1217.656250,0.000029
1220.625000,0.000030
1223.593750,0.000027
1226.562500,0.000028
1229.531250,0.000032
1232.500000,0.000028
1235.468750,0.000028
1238.437500,0.000032
1241.406250,0.000031
1244.375000,0.000021
1247.343750,0.000022
1250.312500,0.000011
1253.281250,0.000009
1256.250000,0.000011
1259.218750,0.000010
1262.187500,0.000005
1265.156250,-0.000002
1268.125000,0.000006
1271.093750,0.000004
1274.062500,0.000003
1277.031250,0.000000
1280.000000,-0.000001
1282.968750,0.000002
1285.937500,0.000003
1288.906250,-0.000001
1291.875000,-0.000001
1294.843750,0.000003
1297.812500,0.000001
1300.781250,-0.000001
1303.750000,0.000002
1306.718750,-0.000003
1309.687500,-0.000004
1312.656250,-0.000000
1315.625000,-0.000000
