#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.770000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.395829,-0.043961
1.382311,-0.041977
1.359439,-0.038454
1.329220,-0.033785
1.263174,-0.023507
1.198240,-0.013866
1.137951,-0.005526
1.083532,0.001193
1.038316,0.005989
0.991235,0.010089
0.946589,0.013049
0.919855,0.014369
0.880843,0.015879
0.833047,0.017105
0.781586,0.017955
0.732274,0.018488
0.685243,0.018833
0.640911,0.019029
0.596378,0.019238
0.546109,0.019385
0.502235,0.019462
0.452461,0.019560
0.407382,0.019601
0.362387,0.019680
0.317256,0.019705
0.271727,0.019739
0.231372,0.019757
0.182863,0.019791
0.140813,0.019819
0.093448,0.019808
0.050935,0.019819
0.003684,0.019814
-0.038766,0.019819
-0.081738,0.019794
-0.136416,0.019838
-0.176689,0.019833
-0.221589,0.019827
-0.271626,0.019797
-0.311408,0.019834
-0.355711,0.019841
-0.401114,0.019820
-0.449309,0.019823
-0.491606,0.019841
-0.534340,0.019826
NaN,NaN
-0.501511,0.019787
-0.459705,0.019752
-0.412270,0.019715
-0.363338,0.019678
-0.323732,0.019639
-0.274504,0.019602
-0.230028,0.019540
-0.185720,0.019498
-0.141803,0.019433
-0.096700,0.019415
-0.050127,0.019326
-0.008404,0.019240
0.037706,0.019178
0.079257,0.019088
0.129609,0.018972
0.171122,0.018873
0.218085,0.018768
0.267081,0.018613
0.306409,0.018504
0.354661,0.018300
0.403204,0.018116
0.441927,0.017963
0.489674,0.017697
0.534827,0.017424
0.574280,0.017192
0.620097,0.016748
0.661052,0.016312
0.704096,0.015650
0.748322,0.014731
0.787665,0.013682
0.833856,0.011984
0.871375,0.010344
0.914249,0.008018
0.954153,0.005446
0.992965,0.002557
1.031178,-0.000640
1.071368,-0.004355
1.110741,-0.008326
1.195857,-0.017775
1.256491,-0.024718
1.297924,-0.029721
1.343174,-0.035528
1.389894,-0.042149
1.434949,-0.049260
NaN,NaN
