#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.366832,-0.071610
1.367453,-0.073026
1.347833,-0.070081
1.325059,-0.065561
1.273315,-0.053943
1.225037,-0.042771
1.173263,-0.031557
1.124088,-0.021188
1.068069,-0.011284
1.010418,-0.002700
0.948381,0.004099
0.895275,0.008040
0.856126,0.010106
0.830210,0.011060
0.787451,0.012152
0.734128,0.012850
0.663920,0.011571
0.638430,0.011829
0.588052,0.011680
0.558391,0.012338
0.502191,0.012482
0.451565,0.012330
0.403668,0.011720
0.340942,0.009939
0.324498,0.010570
0.309214,0.013157
0.242850,0.014127
0.189989,0.014640
0.140876,0.014993
0.103664,0.015494
0.054630,0.015860
0.009061,0.016083
-0.041388,0.016298
-0.083150,0.016473
-0.128745,0.016621
-0.169621,0.016811
-0.219897,0.016980
-0.265602,0.017115
-0.306662,0.017234
-0.340890,0.018288
-0.397859,0.018688
-0.438240,0.019259
-0.481126,0.019619
-0.530297,0.020246
NaN,NaN
-0.499014,0.020429
-0.466084,0.019674
-0.417253,0.019387
-0.372922,0.019107
-0.327841,0.018564
-0.280683,0.018155
-0.238098,0.017790
-0.196511,0.017287
-0.143745,0.016966
-0.099318,0.016701
-0.054307,0.016435
-0.008890,0.016194
0.036367,0.015945
0.077106,0.015732
0.127072,0.015433
0.172079,0.015177
0.212986,0.014897
0.262383,0.014524
0.307560,0.014181
0.344431,0.013597
0.394908,0.013287
0.431217,0.011893
0.482062,0.011308
0.529127,0.010847
0.554025,0.009064
0.613457,0.008110
0.657655,0.007426
0.694931,0.005850
0.746220,0.004705
0.781236,0.003003
0.830082,0.001650
0.868297,-0.000150
0.910404,-0.002410
0.956791,-0.004613
0.997768,-0.006910
1.037416,-0.009669
1.076253,-0.012900
1.113408,-0.016789
1.149950,-0.021433
1.223751,-0.031745
1.274230,-0.041652
1.316225,-0.051409
1.351061,-0.062469
1.383177,-0.074029
NaN,NaN
