#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.355417,-0.082892
1.357438,-0.085416
1.342216,-0.083154
1.323189,-0.079068
1.278699,-0.066956
1.236430,-0.054798
1.193212,-0.042485
1.146484,-0.029866
1.098681,-0.018295
1.043995,-0.007128
0.980423,0.002665
0.905253,0.010167
0.846930,0.013439
0.823483,0.013883
0.780813,0.015111
0.734993,0.015745
0.689039,0.016371
0.637368,0.016544
0.592348,0.016845
0.549502,0.016949
0.505199,0.017369
0.451379,0.017368
0.409268,0.017182
0.365845,0.017230
0.316629,0.017204
0.278573,0.017294
0.230891,0.017418
0.182910,0.017546
0.139482,0.017648
0.096016,0.017734
0.048466,0.017848
0.004728,0.017944
-0.039171,0.017992
-0.087324,0.018077
-0.125668,0.018146
-0.176781,0.018267
-0.218615,0.018363
-0.258895,0.018927
-0.303366,0.019171
-0.356122,0.019530
-0.396132,0.019813
-0.441353,0.020087
-0.486213,0.020813
-0.523889,0.021633
NaN,NaN
-0.493162,0.022144
-0.466735,0.021554
-0.411363,0.021258
-0.371357,0.020888
-0.331022,0.020336
-0.281349,0.020095
-0.237125,0.019490
-0.195643,0.019011
-0.148474,0.018609
-0.100093,0.018233
-0.049875,0.017926
-0.012821,0.017748
0.037906,0.017450
0.079489,0.017249
0.127191,0.016747
0.168711,0.016492
0.216309,0.015954
0.259860,0.015502
0.310304,0.015598
0.354219,0.015589
0.389503,0.014898
0.440744,0.014327
0.480976,0.013630
0.523749,0.012769
0.561970,0.011550
0.609630,0.010355
0.653324,0.008792
0.704194,0.007783
0.749779,0.007200
0.786833,0.005967
0.828698,0.004021
0.867901,0.002250
0.908074,-0.000232
0.954508,-0.002581
0.992727,-0.005523
1.029830,-0.008929
1.067850,-0.012654
1.106185,-0.017356
1.178371,-0.027041
1.232050,-0.036495
1.273498,-0.046861
1.303034,-0.057727
1.331000,-0.069591
1.361783,-0.083153
NaN,NaN
