#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.650000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.356390,-0.090008
1.359606,-0.092841
1.343479,-0.090204
1.323238,-0.085621
1.279511,-0.073527
1.238139,-0.061379
1.196007,-0.049125
1.151856,-0.036820
1.103268,-0.024355
1.050623,-0.012652
0.991325,-0.002055
0.922392,0.006761
0.842697,0.013014
0.807985,0.014331
0.778768,0.014973
0.737976,0.015845
0.689754,0.016609
0.645038,0.016922
0.590236,0.017244
0.546145,0.017256
0.502331,0.017280
0.453348,0.017292
0.409045,0.017287
0.364241,0.017264
0.320190,0.017276
0.276260,0.017259
0.227783,0.017296
0.183498,0.017315
0.139600,0.017312
0.095082,0.017331
0.045653,0.017356
0.006617,0.017369
-0.042212,0.017401
-0.085973,0.017412
-0.129905,0.017430
-0.173419,0.017479
-0.222507,0.017501
-0.265802,0.017530
-0.313537,0.017558
-0.355845,0.017591
-0.398605,0.017628
-0.446455,0.017687
-0.489188,0.017717
-0.537291,0.017776
NaN,NaN
-0.498807,0.017712
-0.460398,0.017704
-0.408061,0.017652
-0.369650,0.017654
-0.322334,0.017608
-0.279357,0.017597
-0.231787,0.017563
-0.182692,0.017520
-0.143858,0.017493
-0.095281,0.017468
-0.051576,0.017433
-0.002809,0.017391
0.035973,0.017382
0.084760,0.017324
0.128755,0.017257
0.176479,0.017153
0.214466,0.017081
0.266071,0.016866
0.307506,0.016694
0.348207,0.016436
0.396658,0.015997
0.439219,0.015501
0.480659,0.014903
0.523841,0.014114
0.569496,0.013079
0.610095,0.012041
0.652130,0.010781
0.694357,0.009296
0.737834,0.007575
0.779743,0.005755
0.820385,0.003811
0.864822,0.001311
0.905653,-0.001136
0.948798,-0.004146
0.990131,-0.007302
1.028999,-0.010626
1.069089,-0.014494
1.108160,-0.018821
1.185826,-0.028292
1.237164,-0.037327
1.271104,-0.046956
1.299722,-0.057753
1.328608,-0.070138
1.358606,-0.084067
NaN,NaN
