#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.690001,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.373315,-0.077127
1.371178,-0.077644
1.354745,-0.074485
1.332633,-0.069550
1.281515,-0.057285
1.232663,-0.045583
1.182140,-0.033941
1.129691,-0.022799
1.074742,-0.012494
1.016128,-0.003386
0.952795,0.004116
0.897083,0.008829
0.852304,0.011425
0.825969,0.012393
0.788291,0.013647
0.740102,0.014853
0.688429,0.015726
0.645229,0.016116
0.592197,0.016529
0.545226,0.016688
0.502208,0.016746
0.453347,0.016788
0.408870,0.016796
0.364371,0.016823
0.319501,0.016836
0.274642,0.016836
0.229688,0.016871
0.180559,0.016886
0.140352,0.016884
0.093212,0.016936
0.050040,0.016971
0.007270,0.017000
-0.040370,0.017050
-0.087843,0.017106
-0.130648,0.017153
-0.173252,0.017207
-0.220781,0.017277
-0.267961,0.017360
-0.310452,0.017428
-0.352937,0.017498
-0.400289,0.017581
-0.447206,0.017644
-0.489628,0.017769
-0.536686,0.017837
NaN,NaN
-0.503201,0.017814
-0.455768,0.017740
-0.412718,0.017718
-0.365313,0.017648
-0.322369,0.017609
-0.279791,0.017539
-0.232024,0.017489
-0.184743,0.017440
-0.141608,0.017390
-0.098828,0.017354
-0.051769,0.017286
-0.008931,0.017240
0.038395,0.017175
0.085862,0.017104
0.128258,0.017027
0.171544,0.016936
0.219330,0.016795
0.267187,0.016638
0.304801,0.016477
0.351271,0.016196
0.400988,0.015808
0.441059,0.015454
0.483942,0.014992
0.525490,0.014446
0.573600,0.013649
0.613460,0.012969
0.659336,0.012007
0.704400,0.010979
0.745353,0.009995
0.791404,0.008617
0.833044,0.007326
0.875743,0.005718
0.916057,0.003920
0.957809,0.001628
0.995699,-0.000956
1.034218,-0.004207
1.070772,-0.007971
1.106453,-0.012312
1.180960,-0.022622
1.235635,-0.032116
1.277295,-0.041487
1.314170,-0.051540
1.349256,-0.062465
1.383656,-0.074165
NaN,NaN
