#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.250000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.390875,-0.047058
1.379819,-0.045569
1.356631,-0.041844
1.327506,-0.037007
1.266896,-0.026671
1.208662,-0.016997
1.145103,-0.007182
1.088644,0.000530
1.040301,0.006035
0.990960,0.010472
0.939666,0.013713
0.919733,0.014548
0.873253,0.016173
0.828593,0.017125
0.776382,0.017844
0.731661,0.018247
0.685162,0.018542
0.642363,0.018742
0.594350,0.018900
0.550331,0.019029
0.504512,0.019081
0.446660,0.019177
0.409607,0.019227
0.362111,0.019255
0.314160,0.019309
0.271341,0.019324
0.223163,0.019359
0.180243,0.019372
0.142064,0.019382
0.096397,0.019355
0.051000,0.019397
0.005505,0.019411
-0.035429,0.019391
-0.084962,0.019413
-0.127160,0.019383
-0.184532,0.019418
-0.221232,0.019408
-0.268185,0.019410
-0.320357,0.019422
-0.357490,0.019415
-0.404927,0.019404
-0.452003,0.019433
-0.488544,0.019427
-0.533631,0.019422
NaN,NaN
-0.502745,0.019382
-0.462961,0.019347
-0.406464,0.019281
-0.364732,0.019246
-0.318089,0.019202
-0.271704,0.019152
-0.230339,0.019110
-0.184152,0.019034
-0.137886,0.018972
-0.096263,0.018895
-0.055939,0.018841
-0.011852,0.018746
0.036662,0.018640
0.080990,0.018543
0.125159,0.018427
0.171691,0.018312
0.222918,0.018107
0.264831,0.018008
0.310989,0.017834
0.361632,0.017602
0.402856,0.017473
0.443348,0.017307
0.491701,0.016983
0.530469,0.016811
0.571929,0.016519
0.616879,0.016119
0.660752,0.015659
0.703647,0.015093
0.748312,0.014214
0.794894,0.012996
0.838426,0.011545
0.875523,0.010005
0.918087,0.007706
0.957491,0.005197
0.991722,0.002704
1.029371,-0.000552
1.067121,-0.004164
1.100731,-0.008947
1.193066,-0.019321
1.256639,-0.026050
1.295588,-0.030973
1.343631,-0.037328
1.390939,-0.044325
1.434494,-0.051917
NaN,NaN
