#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.770000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.387187,-0.061162
1.380799,-0.060237
1.362109,-0.056408
1.338213,-0.051240
1.282973,-0.038819
1.230705,-0.027367
1.178133,-0.016441
1.121909,-0.005774
1.065672,0.003302
1.003060,0.011117
0.935666,0.016506
0.896848,0.018440
0.873904,0.019299
0.830535,0.020554
0.779886,0.021494
0.734151,0.022040
0.686724,0.022448
0.637845,0.022748
0.592267,0.022953
0.550931,0.023088
0.496438,0.023211
0.456692,0.023302
0.406848,0.023362
0.361830,0.023417
0.316814,0.023465
0.276296,0.023493
0.225725,0.023526
0.188550,0.023541
0.142742,0.023563
0.096167,0.023544
0.050360,0.023573
0.004461,0.023586
-0.037255,0.023575
-0.084315,0.023576
-0.133787,0.023572
-0.177904,0.023606
-0.222502,0.023594
-0.266469,0.023611
-0.311133,0.023607
-0.355624,0.023599
-0.404397,0.023610
-0.447393,0.023625
-0.490269,0.023609
-0.537587,0.023647
NaN,NaN
-0.500464,0.023575
-0.458219,0.023523
-0.411386,0.023436
-0.368317,0.023393
-0.319873,0.023327
-0.281164,0.023263
-0.228090,0.023184
-0.184664,0.023111
-0.145943,0.023041
-0.093583,0.022921
-0.051958,0.022830
-0.011591,0.022743
0.037640,0.022603
0.077863,0.022489
0.126522,0.022326
0.170965,0.022210
0.216122,0.022029
0.264627,0.021823
0.308155,0.021657
0.350971,0.021454
0.398388,0.021195
0.445546,0.020899
0.488005,0.020652
0.533083,0.020320
0.576446,0.019958
0.619145,0.019534
0.664631,0.018959
0.704905,0.018364
0.749805,0.017367
0.788777,0.016280
0.831331,0.014606
0.869868,0.012663
0.910106,0.010071
0.948947,0.007055
0.983734,0.003905
1.022810,-0.000306
1.095108,-0.009645
1.154932,-0.018157
1.208979,-0.026123
1.254001,-0.033078
1.299276,-0.040516
1.341634,-0.048381
1.381636,-0.056993
1.414932,-0.065653
NaN,NaN
