#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.650000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.367853,-0.076356
1.366971,-0.077541
1.350378,-0.074752
1.328212,-0.070168
1.277296,-0.058105
1.229433,-0.046557
1.181479,-0.035324
1.130295,-0.024160
1.076604,-0.013753
1.018839,-0.004408
0.953525,0.003533
0.895798,0.008382
0.853399,0.010662
0.826216,0.011544
0.787421,0.012652
0.738617,0.013712
0.689535,0.014364
0.641802,0.014725
0.596729,0.014916
0.545675,0.015068
0.503090,0.015093
0.453562,0.015128
0.408040,0.015128
0.362510,0.015128
0.317102,0.015128
0.271809,0.015133
0.231301,0.015151
0.181084,0.015171
0.141297,0.015162
0.093888,0.015196
0.050805,0.015182
0.007722,0.015211
-0.039618,0.015239
-0.087054,0.015274
-0.130100,0.015265
-0.173540,0.015328
-0.223050,0.015335
-0.266652,0.015373
-0.310627,0.015400
-0.359574,0.015433
-0.398320,0.015489
-0.446796,0.015526
-0.494910,0.015567
-0.532437,0.015617
NaN,NaN
-0.504117,0.015590
-0.456325,0.015575
-0.407888,0.015524
-0.368457,0.015509
-0.319463,0.015458
-0.275335,0.015442
-0.231805,0.015407
-0.187838,0.015385
-0.138912,0.015346
-0.095719,0.015337
-0.053168,0.015306
-0.010694,0.015275
0.036437,0.015238
0.084169,0.015190
0.130587,0.015124
0.169437,0.015070
0.223170,0.014937
0.262309,0.014815
0.310152,0.014604
0.352592,0.014362
0.398665,0.014027
0.439145,0.013633
0.485283,0.013042
0.525480,0.012458
0.567935,0.011670
0.612255,0.010692
0.655384,0.009593
0.697082,0.008412
0.740804,0.006918
0.783453,0.005368
0.827005,0.003533
0.869189,0.001599
0.912425,-0.000656
0.951533,-0.002893
0.994968,-0.005830
1.036422,-0.008986
1.075406,-0.012330
1.113519,-0.016147
1.153556,-0.020889
1.226148,-0.030472
1.274941,-0.040110
1.311417,-0.050319
1.344738,-0.061512
1.378075,-0.073708
NaN,NaN
