#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.650000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.372052,-0.072852
1.369119,-0.073434
1.350879,-0.070464
1.328230,-0.066025
1.274654,-0.054231
1.223716,-0.042870
1.175012,-0.032312
1.122789,-0.021778
1.066423,-0.011611
1.009767,-0.003068
0.947936,0.004213
0.896178,0.008530
0.854170,0.010961
0.827154,0.011910
0.788728,0.013133
0.736756,0.014398
0.692237,0.014988
0.641546,0.015513
0.596998,0.015719
0.547447,0.015903
0.500482,0.015958
0.456748,0.016003
0.411422,0.015980
0.361339,0.016016
0.320787,0.016026
0.270376,0.016031
0.229795,0.016054
0.179267,0.016046
0.139078,0.016082
0.095504,0.016075
0.052240,0.016096
0.004007,0.016111
-0.044046,0.016142
-0.082057,0.016168
-0.130339,0.016194
-0.174338,0.016218
-0.223234,0.016241
-0.267528,0.016282
-0.311538,0.016304
-0.356039,0.016351
-0.400466,0.016384
-0.449882,0.016421
-0.493399,0.016471
-0.531529,0.016500
NaN,NaN
-0.502976,0.016481
-0.454469,0.016456
-0.415067,0.016424
-0.365616,0.016377
-0.316324,0.016339
-0.276664,0.016332
-0.232536,0.016289
-0.188092,0.016270
-0.139111,0.016250
-0.096212,0.016215
-0.053321,0.016175
-0.005592,0.016123
0.037346,0.016086
0.084954,0.016023
0.128000,0.015964
0.176766,0.015873
0.216296,0.015780
0.264904,0.015628
0.307960,0.015423
0.354792,0.015135
0.395845,0.014797
0.440201,0.014336
0.481489,0.013780
0.524228,0.013063
0.569023,0.012163
0.609353,0.011251
0.654281,0.009984
0.695541,0.008698
0.739204,0.007137
0.784335,0.005299
0.828110,0.003373
0.867696,0.001535
0.910129,-0.000807
0.952350,-0.003389
0.992855,-0.006150
1.033441,-0.009243
1.074988,-0.012849
1.116349,-0.016941
1.197725,-0.025854
1.242644,-0.033004
1.285425,-0.041869
1.320830,-0.051451
1.353993,-0.061889
1.386874,-0.073147
NaN,NaN
