#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.361844,-0.091186
1.363270,-0.093373
1.348604,-0.090677
1.328402,-0.085747
1.285259,-0.073017
1.243522,-0.060300
1.200755,-0.047429
1.155833,-0.034756
1.106103,-0.022041
1.052109,-0.010378
0.990492,0.000035
0.916077,0.008371
0.842634,0.012991
0.798832,0.013333
0.772985,0.013558
0.730467,0.014037
0.686572,0.014380
0.641566,0.015007
0.596231,0.015261
0.544655,0.015375
0.505507,0.015717
0.449384,0.015204
0.414222,0.015533
0.358693,0.015406
0.316397,0.015187
0.285292,0.015852
0.232663,0.015979
0.185374,0.016142
0.138138,0.016286
0.095765,0.016363
0.053525,0.016468
0.006807,0.016606
-0.039566,0.016721
-0.081153,0.016853
-0.132353,0.016996
-0.175167,0.017079
-0.218569,0.017055
-0.265653,0.017106
-0.307603,0.017200
-0.354362,0.017319
-0.397006,0.017760
-0.444268,0.017849
-0.460263,0.020256
-0.533431,0.020546
NaN,NaN
-0.483737,0.021762
-0.458397,0.021498
-0.421152,0.021042
-0.371010,0.020452
-0.328296,0.020027
-0.286071,0.019571
-0.235103,0.019083
-0.192896,0.018623
-0.150588,0.018201
-0.099059,0.017648
-0.057067,0.017200
-0.015082,0.016727
0.030594,0.016170
0.076271,0.015592
0.120885,0.014966
0.166345,0.014277
0.210434,0.013525
0.253653,0.012666
0.299479,0.012041
0.374913,0.013266
0.407370,0.013889
0.448178,0.013923
0.480720,0.013458
0.526089,0.012850
0.569232,0.012112
0.612597,0.010964
0.655378,0.009801
0.695280,0.008392
0.737295,0.006842
0.783573,0.005244
0.825520,0.003316
0.866959,0.001381
0.908723,-0.000996
0.950697,-0.003694
0.990384,-0.006548
1.031598,-0.010067
1.069631,-0.013812
1.108431,-0.018198
1.181434,-0.028083
1.232703,-0.037289
1.267926,-0.047463
1.297393,-0.058777
1.327452,-0.071284
1.356968,-0.085095
NaN,NaN
