#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.969999,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.334479,-0.042439
1.332974,-0.042582
1.325351,-0.041651
1.305468,-0.038640
1.278568,-0.034270
1.218803,-0.024295
1.156170,-0.014249
1.095642,-0.005619
1.037350,0.001369
0.991398,0.005738
0.943926,0.009189
0.921331,0.010482
0.885105,0.012211
0.838374,0.013928
0.786660,0.015243
0.737222,0.016130
0.693462,0.016719
0.644258,0.017261
0.593935,0.017689
0.551159,0.017999
0.506098,0.018248
0.453345,0.018508
0.409608,0.018697
0.366079,0.018864
0.316931,0.019031
0.272760,0.019126
0.232968,0.019220
0.184628,0.019318
0.138653,0.019403
0.096907,0.019452
0.050752,0.019527
0.009179,0.019576
-0.041812,0.019643
-0.084016,0.019665
-0.133490,0.019712
-0.178301,0.019749
-0.222737,0.019787
-0.267602,0.019810
-0.312386,0.019845
-0.356918,0.019864
-0.401043,0.019895
-0.448602,0.019967
-0.484582,0.020077
-0.532022,0.020400
NaN,NaN
-0.504394,0.020363
-0.460248,0.020143
-0.415815,0.019937
-0.368284,0.019773
-0.320224,0.019638
-0.276374,0.019510
-0.232865,0.019427
-0.189365,0.019291
-0.141460,0.019134
-0.092970,0.018982
-0.056988,0.018847
-0.008376,0.018607
0.035221,0.018358
0.079171,0.018090
0.121785,0.017773
0.167856,0.017340
0.216278,0.016800
0.260376,0.016260
0.302972,0.015632
0.348421,0.014829
0.389574,0.014053
0.436104,0.012928
0.476323,0.011974
0.517466,0.010793
0.560005,0.009451
0.604470,0.007854
0.648144,0.006206
0.690290,0.004573
0.736587,0.002459
0.780180,0.000523
0.825313,-0.001647
0.869087,-0.003913
0.908358,-0.005934
0.951937,-0.008651
0.992737,-0.011269
1.035655,-0.014239
1.082489,-0.017534
1.131107,-0.020702
1.176906,-0.023342
1.224714,-0.025939
1.266193,-0.028465
1.304282,-0.031597
1.336977,-0.035478
1.364634,-0.040114
NaN,NaN
