#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.750000,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.361142,-0.043515
1.366350,-0.042722
1.327340,-0.041508
1.296440,-0.038963
1.251658,-0.036696
1.215648,-0.033671
1.171276,-0.031053
1.112442,-0.029121
1.079261,-0.026685
1.048320,-0.022666
0.967193,-0.013477
0.899548,-0.007365
0.862003,-0.004115
0.839171,-0.002256
0.808998,0.000515
0.761985,0.003183
0.703903,0.005014
0.669951,0.007537
0.618121,0.009864
0.563567,0.011134
0.471660,0.008823
0.470689,0.009857
0.435637,0.011875
0.380108,0.013064
0.333006,0.014066
0.283585,0.014988
0.231024,0.015235
0.186350,0.015704
0.141553,0.016148
0.099845,0.016468
0.052751,0.016910
0.008898,0.017078
-0.035248,0.017228
-0.084448,0.017385
-0.129357,0.017519
-0.169956,0.017614
-0.220547,0.017785
-0.263270,0.017908
-0.308612,0.018241
-0.354985,0.018473
-0.400513,0.018710
-0.440825,0.019022
-0.490525,0.019379
-0.529434,0.019643
NaN,NaN
-0.505537,0.019302
-0.469147,0.018355
-0.424956,0.017223
-0.384251,0.016229
-0.334726,0.015128
-0.286678,0.014289
-0.237714,0.013536
-0.196488,0.013141
-0.148181,0.012560
-0.105973,0.012243
-0.057072,0.011745
-0.014036,0.011472
0.033410,0.011059
0.083456,0.010569
0.125926,0.010359
0.171610,0.009976
0.217136,0.009561
0.262540,0.009136
0.307026,0.008663
0.345890,0.008319
0.392601,0.007511
0.436039,0.006853
0.479253,0.006176
0.521681,0.005466
0.570119,0.004388
0.612981,0.003603
0.655317,0.002417
0.698634,0.001328
0.743816,-0.000040
0.787754,-0.001441
0.829530,-0.002981
0.872522,-0.004741
0.914298,-0.006572
0.952907,-0.008986
0.994499,-0.011753
1.035021,-0.014995
1.085453,-0.017942
1.132265,-0.020759
1.169019,-0.024082
1.209583,-0.027401
1.267450,-0.029713
1.303110,-0.032775
1.347871,-0.036536
1.389888,-0.040161
NaN,NaN
