#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.969999,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.316027,-0.044062
1.314579,-0.044174
1.311652,-0.044046
1.297601,-0.041778
1.274800,-0.037737
1.219903,-0.027385
1.163318,-0.017057
1.108114,-0.007959
1.046507,0.000487
0.985958,0.006710
0.946355,0.009584
0.921636,0.010983
0.886278,0.012702
0.837055,0.014463
0.785918,0.015751
0.737647,0.016500
0.684739,0.016859
0.647460,0.017691
0.596155,0.018159
0.552112,0.018490
0.501170,0.018831
0.458579,0.019030
0.411600,0.019255
0.362267,0.019326
0.318251,0.019415
0.275554,0.019596
0.228456,0.019773
0.185243,0.019849
0.143034,0.019959
0.095426,0.020046
0.048368,0.020132
0.005538,0.020182
-0.042274,0.020234
-0.086002,0.020290
-0.129594,0.020307
-0.178576,0.020376
-0.222104,0.020382
-0.265891,0.020441
-0.310022,0.020461
-0.358952,0.020498
-0.402966,0.020515
-0.446091,0.020569
-0.488829,0.020669
-0.534252,0.020912
NaN,NaN
-0.500799,0.020856
-0.459402,0.020680
-0.412994,0.020501
-0.370446,0.020360
-0.322977,0.020233
-0.275378,0.020090
-0.232559,0.019969
-0.189778,0.019860
-0.143408,0.019662
-0.095847,0.019509
-0.054101,0.019335
-0.008808,0.019097
0.036090,0.018825
0.080223,0.018509
0.124091,0.018138
0.170888,0.017649
0.213662,0.017173
0.256604,0.016602
0.301870,0.015871
0.346239,0.015021
0.389186,0.014122
0.434238,0.012971
0.475222,0.011900
0.519117,0.010502
0.562366,0.009025
0.602172,0.007654
0.648263,0.005663
0.689507,0.004006
0.731773,0.001691
0.777431,-0.000327
0.823659,-0.002665
0.866544,-0.004930
0.908635,-0.007363
0.951130,-0.010133
0.995007,-0.013173
1.038606,-0.016257
1.081595,-0.019219
1.126036,-0.022085
1.175344,-0.024909
1.223331,-0.027478
1.267887,-0.030237
1.302466,-0.033447
1.333370,-0.037618
1.347728,-0.041634
NaN,NaN
