#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
0.616712,-0.102666
0.604052,-0.103621
0.601803,-0.103782
0.596583,-0.104176
0.594606,-0.104341
0.593242,-0.104458
0.590905,-0.104625
0.589389,-0.104767
0.595774,-0.104263
0.586967,-0.104941
0.587819,-0.104868
0.588056,-0.104849
0.578803,-0.105550
0.578161,-0.105616
0.577790,-0.105630
0.575587,-0.105790
0.569297,-0.106262
0.569234,-0.106273
0.568586,-0.106331
0.562721,-0.105279
0.547163,-0.101690
0.522226,-0.096592
0.468779,-0.084802
0.417000,-0.073383
0.366262,-0.062226
0.315993,-0.051224
0.266331,-0.040446
0.218919,-0.030215
0.172083,-0.020197
0.124396,-0.010283
0.075001,-0.000051
0.026103,0.009357
-0.025269,0.018513
-0.075403,0.026968
-0.122256,0.034998
-0.169516,0.043023
-0.217147,0.051116
-0.266267,0.058798
-0.313086,0.065648
-0.358454,0.071779
-0.404324,0.077454
-0.454891,0.082055
-0.507044,0.083946
-0.559997,0.082152
NaN,NaN
-0.586569,0.075709
-0.630447,0.070191
-0.615114,0.062540
-0.456510,0.048060
-0.340058,0.039222
-0.274771,0.034650
-0.231977,0.031728
-0.208823,0.030209
-0.172954,0.027888
-0.131234,0.025245
-0.086761,0.022481
-0.043197,0.019794
0.002772,0.016908
0.048188,0.014018
0.083485,0.010349
0.113966,0.005909
0.183317,-0.004980
0.233687,-0.014758
0.281989,-0.024669
0.326043,-0.034753
0.366042,-0.045169
0.407430,-0.055775
0.450524,-0.066437
0.487413,-0.077581
0.526767,-0.089063
0.578992,-0.100009
0.598450,-0.104040
0.598575,-0.104041
0.597552,-0.104137
0.602094,-0.103789
0.601197,-0.103865
0.603457,-0.103694
0.605100,-0.103575
0.606902,-0.103437
0.600812,-0.103894
0.600942,-0.103867
0.603986,-0.103645
0.617601,-0.102583
0.577846,-0.105622
0.572137,-0.106037
0.574147,-0.105901
0.575842,-0.105765
0.596129,-0.104209
0.596668,-0.104148
NaN,NaN
