#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.570000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.361310,-0.087252
1.363081,-0.089473
1.347178,-0.086397
1.328253,-0.081593
1.286157,-0.069197
1.244585,-0.056430
1.200814,-0.043287
1.154929,-0.030367
1.105085,-0.017873
1.048541,-0.006189
0.982542,0.003739
0.902770,0.010968
0.845544,0.013696
0.821674,0.014093
0.780913,0.015123
0.736261,0.015811
0.688717,0.016271
0.639064,0.016564
0.591837,0.016652
0.543791,0.016693
0.499415,0.016665
0.455664,0.016654
0.410297,0.016634
0.360069,0.016690
0.319446,0.016658
0.274368,0.016664
0.228966,0.016663
0.184112,0.016696
0.138700,0.016725
0.090748,0.016745
0.052462,0.016757
0.004965,0.016785
-0.037621,0.016821
-0.085148,0.016846
-0.132442,0.016894
-0.175079,0.016938
-0.218935,0.016973
-0.267221,0.017022
-0.310633,0.017079
-0.354074,0.017130
-0.402059,0.017177
-0.445370,0.017254
-0.494107,0.017308
-0.532476,0.017354
NaN,NaN
-0.502944,0.017367
-0.453875,0.017341
-0.415186,0.017299
-0.366796,0.017273
-0.317941,0.017244
-0.279287,0.017228
-0.230821,0.017183
-0.182570,0.017161
-0.143938,0.017117
-0.096703,0.017080
-0.054130,0.017038
-0.006763,0.016985
0.035767,0.016965
0.082238,0.016864
0.129731,0.016792
0.173579,0.016685
0.217852,0.016592
0.265751,0.016433
0.309219,0.016285
0.352202,0.016074
0.398547,0.015776
0.444017,0.015420
0.483231,0.015064
0.528585,0.014463
0.570133,0.013941
0.616830,0.013039
0.656462,0.012386
0.700851,0.011301
0.747464,0.009996
0.787463,0.008931
0.833995,0.007286
0.874260,0.005871
0.917512,0.003908
0.957290,0.001843
0.996239,-0.000652
1.033499,-0.003643
1.071206,-0.007385
1.106936,-0.011718
1.182822,-0.021962
1.233335,-0.030930
1.275546,-0.040565
1.312588,-0.051257
1.343133,-0.062653
1.372067,-0.075008
NaN,NaN
