Device	Pixel	Sweep Direction	Scan number	Variable	Pin[mW/cm2]	Voc[V]	Jsc[mA/cm2]	FF[%]	PCE[%]	Sweep Speed	Measurement Start Date
B3	p8	Rv	0	NOcTiO2_spiro	100.00	1.05	19.99	56.94	11.95	50.0	2020-07-18 08:00:00
B3	p8	Fw	0	NOcTiO2_spiro	100.00	0.78	19.08	39.44	5.87	50.0	2020-07-18 08:00:00
B4	p1	Rv	0	cTiO2_spiro	100.00	1.1	20.34	65.62	14.68	50.0	2020-07-18 08:00:00
B4	p1	Fw	0	cTiO2_spiro	100.00	1.03	19.63	53.93	10.9	50.0	2020-07-18 08:00:00
B4	p2	Rv	0	cTiO2_spiro	100.00	1.09	20.85	66.45	15.1	50.0	2020-07-18 08:00:00
B4	p2	Fw	0	cTiO2_spiro	100.00	1.03	20.22	53.99	11.24	50.0	2020-07-18 08:00:00
B4	p3	Rv	0	cTiO2_spiro	100.00	1.07	23.51	67.58	17.0	50.0	2020-07-18 08:00:00
B4	p3	Fw	0	cTiO2_spiro	100.00	1.02	22.77	54.48	12.65	50.0	2020-07-18 08:00:00
B4	p4	Rv	0	cTiO2_spiro	100.00	1.1	22.26	65.34	16.0	50.0	2020-07-18 08:00:00
B4	p4	Fw	0	cTiO2_spiro	100.00	1.02	21.52	56.42	12.38	50.0	2020-07-18 08:00:00
B4	p5	Rv	0	cTiO2_spiro	100.00	1.07	23.59	67.63	17.07	50.0	2020-07-18 08:00:00
B4	p5	Fw	0	cTiO2_spiro	100.00	1.02	22.74	56.14	13.02	50.0	2020-07-18 08:00:00
B4	p6	Rv	0	cTiO2_spiro	100.00	1.1	21.34	65.24	15.31	50.0	2020-07-18 08:00:00
B4	p6	Fw	0	cTiO2_spiro	100.00	1.03	20.6	55.71	11.82	50.0	2020-07-18 08:00:00
B4	p7	Rv	0	cTiO2_spiro	100.00	1.1	19.86	66.0	14.42	50.0	2020-07-18 08:00:00
B4	p7	Fw	0	cTiO2_spiro	100.00	1.03	19.22	56.46	11.18	50.0	2020-07-18 08:00:00
B4	p8	Rv	0	cTiO2_spiro	100.00	1.08	19.81	66.6	14.25	50.0	2020-07-18 08:00:00
B4	p8	Fw	0	cTiO2_spiro	100.00	1.03	19.24	55.63	11.02	50.0	2020-07-18 08:00:00
A99	p1	Rv	0	cTiO2_ptaa	100.00	0.99	15.59	68.5	10.57	50.0	2020-07-18 08:00:00
A99	p1	Fw	0	cTiO2_ptaa	100.00	0.96	15.64	49.8	7.48	50.0	2020-07-18 08:00:00
A99	p2	Rv	0	cTiO2_ptaa	100.00	0.95	13.96	71.06	9.42	50.0	2020-07-18 08:00:00
A99	p2	Fw	0	cTiO2_ptaa	100.00	0.96	13.88	44.66	5.95	50.0	2020-07-18 08:00:00
A99	p3	Rv	0	cTiO2_ptaa	100.00	0.99	16.33	69.45	11.23	50.0	2020-07-18 08:00:00
A99	p3	Fw	0	cTiO2_ptaa	100.00	0.99	16.74	49.03	8.13	50.0	2020-07-18 08:00:00
A99	p4	Rv	0	cTiO2_ptaa	100.00	0.95	14.73	68.71	9.61	50.0	2020-07-18 08:00:00
A99	p4	Fw	0	cTiO2_ptaa	100.00	0.96	15.08	47.51	6.88	50.0	2020-07-18 08:00:00
A99	p5	Rv	0	cTiO2_ptaa	100.00	0.98	16.78	71.82	11.81	50.0	2020-07-18 08:00:00
A99	p5	Fw	0	cTiO2_ptaa	100.00	1.0	16.98	47.89	8.13	50.0	2020-07-18 08:00:00
A99	p6	Rv	0	cTiO2_ptaa	100.00	0.94	15.31	68.33	9.83	50.0	2020-07-18 08:00:00
A99	p6	Fw	0	cTiO2_ptaa	100.00	1.0	15.54	45.94	7.14	50.0	2020-07-18 08:00:00
A99	p7	Rv	0	cTiO2_ptaa	100.00	0.98	15.84	69.83	10.84	50.0	2020-07-18 08:00:00
A99	p7	Fw	0	cTiO2_ptaa	100.00	1.0	16.15	48.34	7.81	50.0	2020-07-18 08:00:00
A99	p8	Rv	0	cTiO2_ptaa	100.00	0.94	14.2	68.52	9.15	50.0	2020-07-18 08:00:00
A99	p8	Fw	0	cTiO2_ptaa	100.00	0.96	14.55	48.15	6.73	50.0	2020-07-18 08:00:00
B8	p1	Rv	0	NOcTiO2_ptaa	100.00	0.81	15.72	43.77	5.57	50.0	2020-07-18 08:00:00
B8	p1	Fw	0	NOcTiO2_ptaa	100.00	0.57	8.86	28.69	1.45	50.0	2020-07-18 08:00:00
B8	p2	Rv	0	NOcTiO2_ptaa	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
B8	p2	Fw	0	NOcTiO2_ptaa	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
B8	p3	Rv	0	NOcTiO2_ptaa	100.00	0.9	15.04	50.4	6.82	50.0	2020-07-18 08:00:00
B8	p3	Fw	0	NOcTiO2_ptaa	100.00	0.75	9.56	34.54	2.48	50.0	2020-07-18 08:00:00
B8	p4	Rv	0	NOcTiO2_ptaa	100.00	0.81	13.0	43.62	4.59	50.0	2020-07-18 08:00:00
B8	p4	Fw	0	NOcTiO2_ptaa	100.00	0.75	7.85	33.87	1.99	50.0	2020-07-18 08:00:00
B8	p5	Rv	0	NOcTiO2_ptaa	100.00	0.86	16.09	41.29	5.71	50.0	2020-07-18 08:00:00
B8	p5	Fw	0	NOcTiO2_ptaa	100.00	0.74	10.12	35.4	2.65	50.0	2020-07-18 08:00:00
B8	p6	Rv	0	NOcTiO2_ptaa	100.00	0.54	14.0	35.06	2.65	50.0	2020-07-18 08:00:00
B8	p6	Fw	0	NOcTiO2_ptaa	100.00	0.57	9.38	39.07	2.09	50.0	2020-07-18 08:00:00
B8	p7	Rv	0	NOcTiO2_ptaa	100.00	0.81	17.08	45.35	6.27	50.0	2020-07-18 08:00:00
B8	p7	Fw	0	NOcTiO2_ptaa	100.00	0.74	11.47	35.21	2.99	50.0	2020-07-18 08:00:00
B8	p8	Rv	0	NOcTiO2_ptaa	100.00	0.44	15.3	22.15	1.49	50.0	2020-07-18 08:00:00
B8	p8	Fw	0	NOcTiO2_ptaa	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
A98	p1	Rv	0	cTiO2_ptaa	100.00	0.98	15.51	70.75	10.75	50.0	2020-07-18 08:00:00
A98	p1	Fw	0	cTiO2_ptaa	100.00	0.96	15.99	49.76	7.64	50.0	2020-07-18 08:00:00
A98	p2	Rv	0	cTiO2_ptaa	100.00	1.02	15.18	66.13	10.24	50.0	2020-07-18 08:00:00
A98	p2	Fw	0	cTiO2_ptaa	100.00	0.96	15.86	50.12	7.63	50.0	2020-07-18 08:00:00
A98	p3	Rv	0	cTiO2_ptaa	100.00	0.99	16.18	68.42	10.96	50.0	2020-07-18 08:00:00
A98	p3	Fw	0	cTiO2_ptaa	100.00	0.96	16.85	50.49	8.17	50.0	2020-07-18 08:00:00
A98	p4	Rv	0	cTiO2_ptaa	100.00	1.03	15.55	64.2	10.28	50.0	2020-07-18 08:00:00
A98	p4	Fw	0	cTiO2_ptaa	100.00	0.96	16.21	50.44	7.85	50.0	2020-07-18 08:00:00
A98	p5	Rv	0	cTiO2_ptaa	100.00	1.04	18.06	64.83	12.18	50.0	2020-07-18 08:00:00
A98	p5	Fw	0	cTiO2_ptaa	100.00	0.99	18.37	47.24	8.59	50.0	2020-07-18 08:00:00
A98	p6	Rv	0	cTiO2_ptaa	100.00	1.02	16.92	64.05	11.05	50.0	2020-07-18 08:00:00
A98	p6	Fw	0	cTiO2_ptaa	100.00	1.0	17.31	47.24	8.18	50.0	2020-07-18 08:00:00
A98	p7	Rv	0	cTiO2_ptaa	100.00	0.98	16.61	69.43	11.3	50.0	2020-07-18 08:00:00
A98	p7	Fw	0	cTiO2_ptaa	100.00	0.99	16.92	48.56	8.13	50.0	2020-07-18 08:00:00
A98	p8	Rv	0	cTiO2_ptaa	100.00	0.96	16.89	45.47	7.37	50.0	2020-07-18 08:00:00
A98	p8	Fw	0	cTiO2_ptaa	100.00	0.87	17.08	36.38	5.41	50.0	2020-07-18 08:00:00
B1	p1	Rv	0	NOcTiO2_ptaa	100.00	0.98	17.94	67.11	11.8	50.0	2020-07-18 08:00:00
B1	p1	Fw	0	NOcTiO2_ptaa	100.00	0.91	17.75	41.4	6.69	50.0	2020-07-18 08:00:00
B1	p2	Rv	0	NOcTiO2_ptaa	100.00	0.46	16.28	28.31	2.12	50.0	2020-07-18 08:00:00
B1	p2	Fw	0	NOcTiO2_ptaa	100.00	0.56	16.92	38.47	3.64	50.0	2020-07-18 08:00:00
B1	p3	Rv	0	NOcTiO2_ptaa	100.00	0.6	16.8	41.61	4.19	50.0	2020-07-18 08:00:00
B1	p3	Fw	0	NOcTiO2_ptaa	100.00	0.59	17.46	40.46	4.17	50.0	2020-07-18 08:00:00
B1	p4	Rv	0	NOcTiO2_ptaa	100.00	1.01	16.08	58.92	9.57	50.0	2020-07-18 08:00:00
B1	p4	Fw	0	NOcTiO2_ptaa	100.00	0.87	16.19	40.75	5.74	50.0	2020-07-18 08:00:00
B1	p5	Rv	0	NOcTiO2_ptaa	100.00	0.99	15.28	67.67	10.24	50.0	2020-07-18 08:00:00
B1	p5	Fw	0	NOcTiO2_ptaa	100.00	0.87	15.42	49.24	6.61	50.0	2020-07-18 08:00:00
B1	p6	Rv	0	NOcTiO2_ptaa	100.00	0.96	15.37	67.29	9.93	50.0	2020-07-18 08:00:00
B1	p6	Fw	0	NOcTiO2_ptaa	100.00	0.91	15.6	44.98	6.38	50.0	2020-07-18 08:00:00
B1	p7	Rv	0	NOcTiO2_ptaa	100.00	0.99	16.61	66.57	10.95	50.0	2020-07-18 08:00:00
B1	p7	Fw	0	NOcTiO2_ptaa	100.00	0.91	16.73	45.29	6.89	50.0	2020-07-18 08:00:00
B1	p8	Rv	0	NOcTiO2_ptaa	100.00	0.45	15.41	27.29	1.89	50.0	2020-07-18 08:00:00
B1	p8	Fw	0	NOcTiO2_ptaa	100.00	0.46	16.12	28.38	2.1	50.0	2020-07-18 08:00:00
B9	p1	Rv	0	NOcTiO2_spiro	100.00	1.05	20.29	59.12	12.6	50.0	2020-07-18 08:00:00
B9	p1	Fw	0	NOcTiO2_spiro	100.00	0.78	19.19	38.37	5.74	50.0	2020-07-18 08:00:00
B9	p2	Rv	0	NOcTiO2_spiro	100.00	1.04	19.54	58.82	11.95	50.0	2020-07-18 08:00:00
B9	p2	Fw	0	NOcTiO2_spiro	100.00	0.78	18.49	37.78	5.45	50.0	2020-07-18 08:00:00
B9	p3	Rv	0	NOcTiO2_spiro	100.00	1.05	20.18	58.42	12.38	50.0	2020-07-18 08:00:00
B9	p3	Fw	0	NOcTiO2_spiro	100.00	0.78	19.1	37.96	5.66	50.0	2020-07-18 08:00:00
B9	p4	Rv	0	NOcTiO2_spiro	100.00	1.04	18.86	53.63	10.52	50.0	2020-07-18 08:00:00
B9	p4	Fw	0	NOcTiO2_spiro	100.00	0.74	17.69	34.37	4.5	50.0	2020-07-18 08:00:00
B9	p5	Rv	0	NOcTiO2_spiro	100.00	1.05	20.5	57.56	12.39	50.0	2020-07-18 08:00:00
B9	p5	Fw	0	NOcTiO2_spiro	100.00	0.78	19.29	39.41	5.93	50.0	2020-07-18 08:00:00
B9	p6	Rv	0	NOcTiO2_spiro	100.00	1.04	19.45	56.61	11.45	50.0	2020-07-18 08:00:00
