#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.570000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.390075,-0.061138
1.382851,-0.059867
1.363993,-0.055797
1.313301,-0.044251
1.265038,-0.033420
1.216224,-0.022906
1.165339,-0.012697
1.109660,-0.002764
1.054247,0.005411
0.986844,0.012393
0.937596,0.015394
0.918515,0.016159
0.878543,0.017613
0.829446,0.018720
0.779513,0.019414
0.728109,0.019923
0.687993,0.020166
0.637854,0.020424
0.591421,0.020581
0.544525,0.020714
0.501218,0.020801
0.456532,0.020865
0.407106,0.020942
0.362445,0.020974
0.317570,0.021025
0.277331,0.021035
0.227219,0.021064
0.181979,0.021084
0.138948,0.021098
0.096012,0.021104
0.048631,0.021117
0.005393,0.021097
-0.042386,0.021120
-0.085729,0.021116
-0.129211,0.021118
-0.178039,0.021123
-0.222099,0.021144
-0.265999,0.021134
-0.315102,0.021151
-0.354672,0.021117
-0.403602,0.021133
-0.447861,0.021152
-0.491947,0.021144
-0.535658,0.021152
NaN,NaN
-0.502435,0.021095
-0.454207,0.021028
-0.415314,0.020992
-0.366931,0.020940
-0.319128,0.020851
-0.275351,0.020798
-0.232337,0.020731
-0.188865,0.020646
-0.141400,0.020566
-0.098740,0.020455
-0.052530,0.020358
-0.006349,0.020216
0.035591,0.020120
0.080768,0.019964
0.126987,0.019809
0.172907,0.019650
0.221195,0.019450
0.264060,0.019299
0.307528,0.019109
0.354516,0.018866
0.397516,0.018664
0.444191,0.018371
0.490174,0.018062
0.531201,0.017883
0.574651,0.017500
0.618192,0.017128
0.664615,0.016578
0.709418,0.015965
0.749289,0.015255
0.792751,0.014115
0.833336,0.012714
0.873461,0.010917
0.913161,0.008701
0.951748,0.006049
0.988615,0.003046
1.026551,-0.000655
1.065615,-0.004973
1.139807,-0.014554
1.203496,-0.023098
1.254601,-0.030145
1.300418,-0.036930
1.343695,-0.044131
1.386856,-0.052494
1.422374,-0.061160
NaN,NaN
