#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.690001,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.369254,-0.076448
1.368737,-0.077625
1.352639,-0.074766
1.329867,-0.069810
1.278710,-0.057425
1.231381,-0.045896
1.181573,-0.034114
1.131926,-0.023210
1.079738,-0.012947
1.021778,-0.003403
0.956365,0.004871
0.896554,0.010178
0.853758,0.012728
0.828081,0.013679
0.788750,0.015023
0.741579,0.016214
0.690021,0.017041
0.642422,0.017481
0.593721,0.017782
0.547722,0.017942
0.500117,0.018044
0.456629,0.018091
0.407875,0.018095
0.368335,0.018105
0.314874,0.018141
0.275121,0.018127
0.231179,0.018131
0.181978,0.018170
0.137222,0.018180
0.092810,0.018200
0.048297,0.018230
0.003633,0.018241
-0.040656,0.018287
-0.085005,0.018321
-0.133946,0.018382
-0.176490,0.018423
-0.218966,0.018471
-0.266778,0.018522
-0.309273,0.018597
-0.356795,0.018666
-0.399115,0.018735
-0.447442,0.018798
-0.490667,0.018867
-0.539112,0.018946
NaN,NaN
-0.499964,0.018918
-0.455931,0.018878
-0.411892,0.018828
-0.364799,0.018772
-0.322102,0.018727
-0.279187,0.018697
-0.231614,0.018624
-0.188731,0.018577
-0.141779,0.018511
-0.093043,0.018463
-0.054300,0.018413
-0.005343,0.018350
0.038779,0.018305
0.087845,0.018220
0.126736,0.018144
0.175070,0.018026
0.218616,0.017947
0.265454,0.017770
0.307276,0.017597
0.352841,0.017322
0.393444,0.017013
0.440992,0.016549
0.483855,0.016057
0.528527,0.015408
0.568352,0.014785
0.614172,0.013869
0.659099,0.012901
0.699562,0.011935
0.745261,0.010626
0.786342,0.009439
0.832006,0.007810
0.873296,0.006218
0.914698,0.004315
0.956282,0.001946
0.994242,-0.000668
1.033171,-0.004018
1.069828,-0.007830
1.106465,-0.012358
1.178665,-0.022512
1.232779,-0.032052
1.275893,-0.041767
1.312152,-0.051907
1.347586,-0.063260
1.380839,-0.075177
NaN,NaN
