#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.570000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.373250,-0.076049
1.370652,-0.076613
1.355060,-0.073345
1.333612,-0.068278
1.279571,-0.056013
1.231065,-0.044176
1.181518,-0.033051
1.130577,-0.021945
1.070348,-0.012136
1.011046,-0.003571
0.944261,0.003353
0.902499,0.007318
0.846431,0.009815
0.821908,0.010576
0.787154,0.012077
0.743270,0.013231
0.692618,0.014085
0.642443,0.014629
0.592752,0.014897
0.549242,0.014861
0.501910,0.014923
0.453678,0.014948
0.409305,0.014988
0.364603,0.014986
0.320129,0.015048
0.270605,0.015091
0.231123,0.015116
0.186835,0.015161
0.138005,0.015194
0.095423,0.015228
0.048379,0.015267
0.010137,0.015307
-0.042336,0.015374
-0.084818,0.015408
-0.127112,0.015494
-0.174511,0.015550
-0.221826,0.015592
-0.263988,0.015675
-0.311426,0.015716
-0.353233,0.015859
-0.400285,0.015938
-0.441350,0.016044
-0.493474,0.016110
-0.535020,0.016210
NaN,NaN
-0.502176,0.016154
-0.454564,0.016133
-0.412478,0.016065
-0.370346,0.016013
-0.323290,0.015940
-0.275816,0.015879
-0.233063,0.015821
-0.185786,0.015758
-0.142922,0.015715
-0.100409,0.015644
-0.053198,0.015598
-0.006091,0.015535
0.041301,0.015462
0.079101,0.015435
0.125514,0.015316
0.173253,0.015232
0.220420,0.015080
0.264005,0.014963
0.306930,0.014788
0.353306,0.014532
0.399282,0.014222
0.440260,0.013932
0.482924,0.013495
0.528223,0.012920
0.569454,0.012404
0.616020,0.011546
0.659041,0.010832
0.703610,0.009866
0.745258,0.008908
0.789381,0.007775
0.835638,0.006387
0.877621,0.005033
0.919822,0.003378
0.960908,0.001362
0.998344,-0.000879
1.036511,-0.003836
1.072809,-0.007226
1.109652,-0.011354
1.186929,-0.020958
1.242710,-0.029479
1.285874,-0.038176
1.325716,-0.047308
1.363808,-0.057430
1.396164,-0.067968
NaN,NaN
