#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.364012,-0.046621
1.358472,-0.046670
1.337698,-0.044547
1.310474,-0.041070
1.280295,-0.036765
1.213900,-0.026612
1.152000,-0.017242
1.092861,-0.009088
1.035612,-0.002334
0.992641,0.001818
0.944577,0.005549
0.922758,0.006838
0.886115,0.008812
0.842436,0.010667
0.791239,0.012271
0.739391,0.013446
0.692296,0.014273
0.647774,0.014887
0.598287,0.015492
0.551717,0.015967
0.504311,0.016347
0.458207,0.016711
0.412116,0.017040
0.365367,0.017297
0.322938,0.017544
0.275034,0.017760
0.227280,0.017983
0.184226,0.018145
0.143092,0.018288
0.097401,0.018443
0.051478,0.018591
0.005541,0.018743
-0.040595,0.018869
-0.082033,0.018973
-0.129807,0.019111
-0.172588,0.019206
-0.225253,0.019328
-0.263491,0.019419
-0.311160,0.019545
-0.354070,0.019621
-0.401683,0.019761
-0.447791,0.019910
-0.487766,0.020159
-0.529770,0.020602
NaN,NaN
-0.502674,0.020485
-0.463645,0.020180
-0.415564,0.019827
-0.369933,0.019579
-0.323510,0.019334
-0.276967,0.019131
-0.235256,0.018936
-0.188878,0.018726
-0.142977,0.018481
-0.096628,0.018233
-0.056701,0.017999
-0.009170,0.017654
0.034391,0.017307
0.077395,0.016929
0.123271,0.016408
0.164797,0.015912
0.214920,0.015109
0.256692,0.014460
0.300801,0.013565
0.343581,0.012612
0.388580,0.011433
0.429554,0.010328
0.473031,0.008924
0.516212,0.007437
0.558238,0.005911
0.602026,0.004158
0.645695,0.002328
0.691239,0.000274
0.734189,-0.001606
0.778944,-0.003725
0.823733,-0.005843
0.865613,-0.007820
0.911426,-0.010260
0.956265,-0.012757
0.997836,-0.015128
1.043712,-0.017966
1.087762,-0.020615
1.132460,-0.023156
1.178532,-0.025599
1.226645,-0.028145
1.265302,-0.030624
1.303059,-0.033926
1.337388,-0.038237
1.384094,-0.045061
NaN,NaN
