#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.969999,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.323441,-0.046677
1.321718,-0.046794
1.317161,-0.046405
1.301705,-0.043901
1.277146,-0.039483
1.221829,-0.028964
1.166198,-0.018684
1.109530,-0.009219
1.050586,-0.000942
0.988387,0.005771
0.945525,0.009113
0.923633,0.010444
0.885567,0.012444
0.836758,0.014356
0.789659,0.015691
0.739611,0.016720
0.691407,0.017472
0.641928,0.018063
0.594571,0.018491
0.550542,0.018796
0.506219,0.019075
0.454695,0.019373
0.411213,0.019547
0.362923,0.019737
0.318748,0.019864
0.274643,0.019988
0.230356,0.020107
0.181291,0.020232
0.144373,0.020286
0.094735,0.020380
0.054095,0.020428
0.004269,0.020502
-0.036816,0.020540
-0.082301,0.020608
-0.129238,0.020661
-0.177457,0.020700
-0.221564,0.020753
-0.265821,0.020761
-0.314151,0.020821
-0.358237,0.020863
-0.401832,0.020930
-0.443365,0.021107
-0.486391,0.021449
-0.528509,0.022232
NaN,NaN
-0.501198,0.022158
-0.459012,0.021709
-0.421134,0.021328
-0.372475,0.020888
-0.322014,0.020597
-0.280354,0.020405
-0.233320,0.020238
-0.186548,0.020046
-0.139607,0.019865
-0.103172,0.019734
-0.055365,0.019525
-0.011827,0.019287
0.034961,0.018994
0.077229,0.018706
0.123411,0.018326
0.165702,0.017937
0.214347,0.017362
0.261944,0.016708
0.304926,0.016103
0.346619,0.015419
0.390728,0.014516
0.433313,0.013549
0.476223,0.012451
0.518273,0.011251
0.562064,0.009827
0.604949,0.008318
0.649657,0.006576
0.692011,0.004905
0.738105,0.002801
0.781439,0.000805
0.823682,-0.001248
0.865826,-0.003506
0.907568,-0.006046
0.947897,-0.008713
0.988979,-0.011689
1.032332,-0.015019
1.078473,-0.018601
1.124564,-0.021800
1.173151,-0.024777
1.219624,-0.027316
1.263938,-0.030033
1.305086,-0.033356
1.336884,-0.037504
1.370097,-0.043100
NaN,NaN
