B6__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B6__cTiO2_spiro__p8__1.0Sun__Fw__scan0	B6__cTiO2_spiro__p8__1.0Sun__Fw__scan0
1.391266	-55.324	-0.50192	19.761999999999997	1.392092	-52.663000000000004	-0.491848	56.467999999999996	1.390488	-58.327	-0.50001	20.604999999999997	1.392622	-53.704	-0.502838	19.484	1.390075	-61.138	-0.502435	21.095	1.393791	-53.131	-0.498154	19.604	1.389216	-57.49	-0.502181	19.759999999999998	1.393885	-50.01	-0.50496	19.141
1.382379	-53.799	-0.454504	19.692	1.382132	-51.194	-0.474411	54.856	1.383007	-57.058	-0.462833	20.572	1.383204	-52.168	-0.456628	19.447	1.382851	-59.867	-0.454207	21.028000000000002	1.383128	-51.372	-0.460243	19.564999999999998	1.382971	-56.544999999999995	-0.459294	19.712	1.382992	-48.257	-0.45738	19.086
1.363101	-50.039	-0.416662	19.646	1.362054	-47.434999999999995	-0.448591	52.034	1.363455	-53.053999999999995	-0.410534	20.495	1.361763	-48.105000000000004	-0.414377	19.383999999999997	1.363993	-55.797	-0.415314	20.992	1.361975	-47.398	-0.412956	19.497	1.363704	-52.617	-0.410623	19.647000000000002	1.362374	-44.664	-0.409627	19.043999999999997
1.33642	-44.585	-0.365233	19.523	1.333869	-42.071999999999996	-0.41426	48.397999999999996	1.312683	-42.02	-0.367251	20.464	1.306604	-37.263	-0.365271	19.342000000000002	1.313301	-44.251	-0.366931	20.94	1.307289	-36.757	-0.365993	19.464	1.310818	-41.146	-0.362438	19.604	1.333526	-39.433	-0.366241	19.017
1.278708	-32.61	-0.322184	19.503	1.273692	-30.346999999999998	-0.376969	44.305	1.261559	-31.09	-0.319301	20.394	1.255789	-27.498	-0.32135	19.302	1.265038	-33.42	-0.319128	20.851000000000003	1.25394	-26.669999999999998	-0.323567	19.424	1.260718	-30.501	-0.323672	19.57	1.270717	-28.035	-0.323317	18.973
1.22246	-21.399	-0.279347	19.421999999999997	1.216421	-19.692	-0.289246	36.193999999999996	1.211609	-20.807	-0.280771	20.354	1.201558	-17.516000000000002	-0.277692	19.238000000000003	1.216224	-22.906	-0.275351	20.798000000000002	1.201399	-17.154	-0.276371	19.373	1.212402	-20.676	-0.275273	19.491999999999997	1.212032	-17.842	-0.276144	18.919999999999998
1.16573	-10.92	-0.232387	19.358	1.159735	-10.189	-0.227484	31.348000000000003	1.158649	-10.69	-0.228556	20.247999999999998	1.146895	-8.187	-0.229171	19.172	1.165339	-12.697	-0.232337	20.730999999999998	1.148452	-8.256	-0.233509	19.307000000000002	1.159377	-10.697	-0.23195	19.436	1.153282	-8.385	-0.233364	18.859
1.108619	-1.501	-0.18528	19.294999999999998	1.10049	-1.516	-0.182833	28.122999999999998	1.105929	-1.71	-0.185129	20.203	1.093058	-0.088	-0.185106	19.105	1.10966	-2.764	-0.188865	20.646	1.095274	-0.32	-0.186263	19.244	1.105339	-1.7229999999999999	-0.188416	19.363	1.095615	-0.145	-0.185674	18.811
1.046234	6.765000000000001	-0.142765	19.191	1.036596	5.781	-0.163088	26.668	1.046296	6.603999999999999	-0.146415	20.147000000000002	1.036202	6.941	-0.141697	19.016000000000002	1.054247	5.411	-0.1414	20.566000000000003	1.036325	6.867	-0.144039	19.178	1.045033	6.313	-0.141819	19.276	1.033473	7.101999999999999	-0.142795	18.727
0.983636	12.456	-0.100232	19.134	0.98211	9.402000000000001	-0.127119	24.227999999999998	0.984404	12.647	-0.095863	20.022000000000002	0.989846	11.095	-0.098183	18.946	0.986844	12.392999999999999	-0.09874	20.455000000000002	0.986699	11.244	-0.096892	19.066	0.987113	11.636000000000001	-0.10102	19.205	0.986557	11.089	-0.095171	18.662000000000003
