B2__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B2__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0	B2__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0
1.358829	-82.525	-0.502923	15.486	1.368288	-77.138	-0.50071	15.17	1.365937	-92.891	-0.502209	15.872	1.367853	-76.356	-0.504117	15.59	1.35639	-90.00800000000001	-0.498807	17.712	1.372052	-72.852	-0.502976	16.480999999999998	1.359958	-85.247	-0.498308	16.62	1.369382	-73.367	-0.499874	15.853
1.361144	-84.95400000000001	-0.455579	15.447000000000001	1.367537	-78.29700000000001	-0.456428	15.125	1.364714	-94.114	-0.459324	15.802	1.366971	-77.541	-0.456325	15.575000000000001	1.359606	-92.84100000000001	-0.460398	17.704	1.369119	-73.434	-0.454469	16.456	1.361461	-87.435	-0.459978	16.6	1.369287	-74.49600000000001	-0.457528	15.765999999999998
1.345018	-82.476	-0.412229	15.434	1.350753	-75.50800000000001	-0.409202	15.102	1.348786	-91.114	-0.411143	15.763	1.350378	-74.752	-0.407888	15.524	1.343479	-90.20400000000001	-0.408061	17.652	1.350879	-70.464	-0.415067	16.424	1.345716	-84.83	-0.413239	16.558	1.350736	-71.479	-0.414623	15.719000000000001
1.324951	-78.217	-0.368964	15.389	1.327312	-70.62100000000001	-0.370782	15.091999999999999	1.329317	-86.419	-0.363233	15.74	1.328212	-70.16799999999999	-0.368457	15.509	1.323238	-85.62100000000001	-0.36965	17.654	1.32823	-66.025	-0.365616	16.377	1.325618	-80.384	-0.366169	16.518	1.327782	-66.968	-0.367394	15.644000000000002
1.278808	-66.151	-0.320577	15.351999999999999	1.277694	-58.846000000000004	-0.322994	15.04	1.284082	-73.81400000000001	-0.324793	15.703999999999999	1.277296	-58.105	-0.319463	15.458	1.279511	-73.527	-0.322334	17.607999999999997	1.274654	-54.231	-0.316324	16.339	1.280892	-68.434	-0.323085	16.499	1.274897	-55.204	-0.320276	15.552
1.235845	-54.28	-0.277028	15.318	1.229011	-47.044999999999995	-0.275152	15.018	1.241797	-61.363	-0.27688	15.668000000000001	1.229433	-46.557	-0.275335	15.442	1.238139	-61.379000000000005	-0.279357	17.597	1.223716	-42.87	-0.276664	16.332	1.23614	-55.943	-0.275953	16.442999999999998	1.225074	-43.951	-0.28217	15.491
1.190668	-41.976	-0.228735	15.272	1.181627	-35.855	-0.232337	14.966999999999999	1.197711	-48.639	-0.229053	15.639	1.181479	-35.324	-0.231805	15.407	1.196007	-49.125	-0.231787	17.563	1.175012	-32.312	-0.232536	16.289	1.192165	-43.845	-0.232821	16.435000000000002	1.175055	-32.994	-0.230366	15.412
1.14509	-30.234	-0.190032	15.26	1.130625	-24.627	-0.184871	14.931	1.152461	-36.238	-0.190158	15.626999999999999	1.130295	-24.16	-0.187838	15.385	1.151856	-36.82	-0.182692	17.52	1.122789	-21.778	-0.188092	16.27	1.146316	-31.869	-0.190184	16.412	1.123707	-22.516000000000002	-0.187982	15.341000000000001
1.093599	-18.341	-0.141769	15.223	1.078608	-14.386	-0.140816	14.908	1.102273	-23.803	-0.142836	15.59	1.076604	-13.753	-0.138912	15.346	1.103268	-24.355	-0.143858	17.493000000000002	1.066423	-11.611	-0.139111	16.25	1.097066	-20.241	-0.141612	16.38	1.070481	-12.819	-0.140235	15.261000000000001
1.03721	-7.496	-0.09402	15.189	1.020617	-4.888	-0.096713	14.875	1.047458	-12.227	-0.094634	15.556000000000001	1.018839	-4.4079999999999995	-0.095719	15.337	1.050623	-12.652	-0.095281	17.468	1.009767	-3.068	-0.096212	16.215	1.041487	-9.065	-0.093181	16.349	1.012631	-4.023	-0.098004	15.188
