A100__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Fw__scan0
1.360509	-78.812	-0.502595	20.955000000000002	1.369254	-76.44800000000001	-0.499964	18.918	1.359198	-81.594	-0.496732	18.08	1.377083	-78.80199999999999	-0.503391	16.292	1.367319	-79.663	-0.499507	16.544	1.374898	-81.11	-0.500879	16.254	1.367435	-90.794	-0.500125	18.038999999999998	1.373315	-77.127	-0.503201	17.814
1.361711	-80.86699999999999	-0.455548	20.917	1.368737	-77.625	-0.455931	18.878	1.361625	-84.116	-0.45821	18.048000000000002	1.374395	-79.02000000000001	-0.456611	16.204	1.36823	-80.778	-0.457033	16.489	1.373337	-81.615	-0.457715	16.176	1.366927	-92.014	-0.457887	17.979	1.371178	-77.644	-0.455768	17.74
1.346404	-78.401	-0.413164	20.874	1.352639	-74.766	-0.411892	18.828	1.345098	-81.14699999999999	-0.410574	17.99	1.357261	-75.495	-0.412574	16.157	1.351881	-77.77199999999999	-0.41428	16.412	1.356729	-78.083	-0.408763	16.101	1.35258	-88.89099999999999	-0.415358	17.91	1.354745	-74.485	-0.412718	17.718
1.32547	-73.893	-0.365952	20.831	1.329867	-69.81	-0.364799	18.772000000000002	1.325345	-76.61	-0.371983	17.957	1.334639	-70.248	-0.369146	16.096	1.330492	-72.667	-0.367022	16.352999999999998	1.335995	-73.09100000000001	-0.364921	16.011	1.332547	-83.555	-0.368343	17.845	1.332633	-69.55	-0.365313	17.648
1.279798	-62.11	-0.32263	20.831	1.27871	-57.425	-0.322102	18.727	1.281555	-64.665	-0.319623	17.904	1.283622	-57.818	-0.320504	16.011	1.284223	-60.517	-0.3251	16.269	1.285987	-60.497	-0.321118	15.961	1.289388	-70.783	-0.32138	17.793	1.281515	-57.285000000000004	-0.322369	17.608999999999998
1.234107	-49.976	-0.278981	20.767	1.231381	-45.896	-0.279187	18.697	1.23765	-52.288000000000004	-0.276347	17.849	1.23332	-45.672	-0.272422	15.95	1.237097	-48.580999999999996	-0.277679	16.223000000000003	1.237352	-48.211999999999996	-0.277246	15.879999999999999	1.246356	-57.836	-0.278605	17.747	1.232663	-45.583	-0.279791	17.538999999999998
1.188706	-38.168	-0.230572	20.725	1.181573	-34.114	-0.231614	18.624000000000002	1.193871	-40.219	-0.233351	17.828	1.18368	-34.226	-0.233593	15.896	1.188749	-36.638999999999996	-0.229789	16.148	1.187284	-36.202	-0.233422	15.815	1.201887	-44.901	-0.23116	17.680999999999997	1.18214	-33.941	-0.232024	17.489
1.140995	-26.448	-0.186961	20.687	1.131926	-23.21	-0.188731	18.576999999999998	1.146128	-27.958000000000002	-0.185485	17.765	1.132354	-23.421999999999997	-0.185418	15.812	1.139664	-25.336000000000002	-0.186547	16.075	1.13614	-24.968	-0.184963	15.747	1.155425	-32.313	-0.188634	17.621000000000002	1.129691	-22.799	-0.184743	17.44
1.088839	-14.935	-0.138594	20.639	1.079738	-12.947000000000001	-0.141779	18.511	1.093971	-16.114	-0.14276	17.715999999999998	1.074737	-12.902999999999999	-0.14179	15.781	1.083625	-14.246	-0.143263	16.014	1.077427	-13.852	-0.14135	15.675	1.104788	-20.082	-0.140988	17.572999999999997	1.074742	-12.494	-0.141608	17.39
1.033404	-4.547	-0.100285	20.598000000000003	1.021778	-3.403	-0.093043	18.463	1.038258	-5.636	-0.094994	17.666	1.013554	-3.848	-0.09854	15.705	1.02581	-4.675999999999999	-0.09511	15.966000000000001	1.017313	-4.7010000000000005	-0.098534	15.643	1.047484	-8.595	-0.097549	17.508	1.016128	-3.386	-0.098828	17.354000000000003
0.971847	4.466	-0.047281	20.539	0.956365	4.871	-0.0543	18.413	0.971628	3.698	-0.052264	17.597	0.945689	3.595	-0.051606	15.66	0.955355	3.294	-0.051909	15.889000000000001	0.949913	2.864	-0.051284	15.579	0.980192	1.4289999999999998	-0.049363	17.451	0.952795	4.116	-0.051769	17.285999999999998
0.900922	11.682	-0.010371	20.494	0.896554	10.177999999999999	-0.005343	18.35	0.893788	10.685	-0.009435	17.573999999999998	0.900393	7.133	-0.005188	15.568	0.892825	8.177	-0.003501	15.805	0.896833	7.063	-0.003678	15.532	0.902266	8.954	-0.006034	17.386	0.897083	8.829	-0.008931	17.24
0.850218	14.919	0.039572	20.424	0.853758	12.728	0.038779	18.305	0.853383	12.819	0.038308	17.503	0.875593	8.521	0.037168	15.517	0.856672	10.082	0.039793	15.73	0.854408	9.459999999999999	0.034196	15.445	0.849022	12.073	0.037384	17.329	0.852304	11.424999999999999	0.038395	17.175
0.824185	15.889000000000001	0.080518	20.362000000000002	0.828081	13.679	0.087845	18.22	0.826462	13.724	0.085623	17.444000000000003	0.839885	10.264000000000001	0.079137	15.421000000000001	0.82769	11.119	0.083492	15.654000000000002	0.828425	10.474	0.086331	15.357000000000001	0.825314	12.869	0.084935	17.241	0.825969	12.392999999999999	0.085862	17.104000000000003
0.790064	16.976000000000003	0.125885	20.29	0.78875	15.023	0.126736	18.144000000000002	0.784041	14.985	0.128642	17.375999999999998	0.794674	11.972999999999999	0.130466	15.328	0.793135	12.425	0.12659	15.562	0.787799	11.927	0.128994	15.292	0.786922	14.106	0.12821	17.174	0.788291	13.647	0.128258	17.027
0.740326	18.287000000000003	0.170675	20.192999999999998	0.741579	16.214	0.17507	18.026	0.737911	15.913	0.171583	17.296	0.741625	13.472	0.173159	15.224	0.743995	13.775	0.173733	15.436	0.740308	13.192	0.173028	15.2	0.738915	15.272	0.171229	17.086000000000002	0.740102	14.853	0.171544	16.936
0.692101	19.012999999999998	0.215621	20.064999999999998	0.690021	17.041	0.218616	17.947000000000003	0.688273	16.573	0.21914	17.184	0.694479	14.271	0.21686	15.110999999999999	0.69356	14.606	0.220925	15.276	0.693954	14.037	0.216963	15.058	0.69106	16.001	0.218977	16.924000000000003	0.688429	15.726	0.21933	16.795
0.641565	19.512999999999998	0.261178	19.912	0.642422	17.481	0.265454	17.77	0.64368	16.879	0.266419	17.035	0.644584	14.840000000000002	0.265041	14.918000000000001	0.641298	15.143	0.258244	15.143	0.644372	14.609	0.265679	14.885	0.640566	16.529	0.26647	16.764000000000003	0.645229	16.116	0.267187	16.638
