A98__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A98__cTiO2_ptaa__p8__1.0Sun__Fw__scan0	A98__cTiO2_ptaa__p8__1.0Sun__Fw__scan0
1.36682	-88.142	-0.50031	16.337	1.377297	-82.86699999999999	-0.503283	16.281	1.369165	-95.649	-0.501427	17.235	1.378156	-82.97	-0.499728	16.66	1.368287	-83.91600000000001	-0.503832	18.745	1.372177	-76.658	-0.500158	17.707	1.365977	-86.717	-0.502134	17.230999999999998	1.367989	-82.814	-0.507769	22.656
1.367276	-89.651	-0.460843	16.35	1.374505	-83.057	-0.451499	16.256	1.368887	-96.82000000000001	-0.452469	17.221	1.374413	-82.825	-0.456685	16.63	1.367499	-85.107	-0.455625	18.705	1.36991	-77.185	-0.456388	17.687	1.365828	-88.271	-0.454044	17.207	1.368778	-84.304	-0.462334	22.003
1.351002	-86.272	-0.407369	16.309	1.35598	-78.992	-0.409946	16.244	1.353991	-93.35499999999999	-0.413444	17.212000000000003	1.358285	-79.286	-0.413083	16.601000000000003	1.352514	-82.011	-0.411711	18.678	1.354317	-74.02300000000001	-0.413184	17.666	1.350844	-85.142	-0.410234	17.19	1.35134	-80.953	-0.414935	21.383
1.331145	-81.219	-0.368585	16.303	1.314987	-68.563	-0.362908	16.195	1.334572	-87.902	-0.364013	17.163	1.337323	-74.099	-0.364418	16.593	1.332126	-76.924	-0.367726	18.669	1.333193	-69.096	-0.365033	17.622	1.331358	-80.101	-0.366791	17.194999999999997	1.329166	-75.878	-0.372284	20.802
1.287968	-68.903	-0.320063	16.276	1.271596	-57.18	-0.31654	16.169	1.292152	-74.803	-0.325214	17.15	1.289957	-61.788000000000004	-0.321231	16.542	1.288758	-64.724	-0.319416	18.642	1.28541	-57.067	-0.321247	17.592	1.289917	-67.746	-0.323229	17.15	1.28289	-64.277	-0.328895	20.244999999999997
1.244248	-56.044	-0.276189	16.269	1.224923	-45.129000000000005	-0.275205	16.135	1.252118	-62.072	-0.27657	17.090999999999998	1.240817	-48.963	-0.277623	16.508	1.243844	-51.967	-0.275623	18.596	1.236262	-44.699000000000005	-0.278049	17.56	1.246816	-54.714999999999996	-0.274923	17.125	1.234967	-52.123000000000005	-0.281068	19.673
1.198736	-42.989	-0.23233	16.22	1.181502	-34.419	-0.228939	16.096	1.207461	-48.287	-0.228211	17.057	1.191357	-36.598	-0.234271	16.453	1.197586	-39.226	-0.232037	18.576999999999998	1.186877	-32.864999999999995	-0.230021	17.517999999999997	1.200889	-41.243	-0.231043	17.108999999999998	1.184262	-39.811	-0.236899	19.154999999999998
1.152031	-30.474999999999998	-0.188443	16.177	1.134178	-23.703	-0.182618	16.046000000000003	1.162375	-35.217	-0.188516	17.027	1.141362	-25.062	-0.185956	16.403000000000002	1.149379	-26.889	-0.183418	18.537000000000003	1.135912	-21.604000000000003	-0.186817	17.488	1.155001	-28.749	-0.18725	17.057	1.135967	-28.863	-0.193478	18.707
1.101201	-18.335	-0.141415	16.156	1.076297	-12.345	-0.144143	15.996	1.11211	-22.176000000000002	-0.141064	16.974	1.086072	-13.908	-0.137689	16.358	1.095934	-14.732000000000001	-0.144937	18.508	1.079731	-10.788	-0.143188	17.443	1.103024	-16.288	-0.144479	17.038999999999998	1.08316	-18.259999999999998	-0.148872	18.248
1.041545	-6.7	-0.094424	16.092	1.019416	-3.298	-0.099138	15.959000000000001	1.053774	-9.608	-0.093699	16.921	1.025821	-4.048	-0.099314	16.317	1.037786	-3.843	-0.09821	18.457	1.018553	-1.27	-0.094874	17.413999999999998	1.04371	-4.731	-0.096936	16.994	1.021577	-8.213	-0.103627	17.842
