B8__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B8__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0	B8__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0
1.409445	-26.224999999999998	-0.512329	18.273999999999997	1.422477	-70.05799999999999	-0.509159	26.056	1.401262	-26.173	-0.507202	15.858	1.397416	-32.025	-0.514612	15.174	1.397287	-30.595000000000002	-0.508085	16.247999999999998	1.372349	-38.863	-0.506733	19.144000000000002	1.361142	-43.515	-0.505537	19.302	1.395324	-41.935	-0.504768	30.923
1.332234	-28.056	-0.470427	17.035	1.367389	-68.429	-0.477923	24.485	1.361805	-25.863	-0.467947	15.124	1.376332	-30.682000000000002	-0.473507	13.896	1.379079	-28.603	-0.465538	15.357000000000001	1.348354	-41.826	-0.480022	17.524	1.36635	-42.722	-0.469147	18.355	1.360175	-40.552	-0.479322	29.215999999999998
1.336941	-25.854	-0.429016	15.81	1.343082	-65.85000000000001	-0.440127	22.311999999999998	1.333495	-24.325	-0.421233	14.237	1.322158	-30.139	-0.425766	12.62	1.312215	-28.568	-0.423087	14.508999999999999	1.352209	-38.932	-0.432586	16.049999999999997	1.32734	-41.508	-0.424956	17.223	1.326365	-39.428	-0.439385	27.167
1.258859	-26.663	-0.382615	14.584	1.313205	-62.63399999999999	-0.397417	20.047	1.284693	-22.878	-0.37759	13.479	1.290149	-28.298000000000002	-0.379749	11.616	1.255952	-29.19	-0.375931	13.632	1.250732	-40.074	-0.385162	14.586	1.29644	-38.963	-0.384251	16.229	1.293321	-37.51199999999999	-0.392023	25.245
1.212262	-27.275000000000002	-0.338253	13.546000000000001	1.267398	-59.044	-0.353238	17.869	1.229811	-22.225	-0.329654	12.668000000000001	1.25006	-26.32	-0.332005	10.715	1.244531	-27.508000000000003	-0.330678	12.978	1.251273	-37.849000000000004	-0.337057	13.457	1.251658	-36.696	-0.334726	15.128	1.226426	-37.043	-0.345485	23.286
1.221399	-23.989	-0.28974	12.484	1.222153	-55.311	-0.302894	15.755999999999998	1.202283	-20.287	-0.283822	12.062	1.212869	-23.771	-0.282725	9.932	1.194869	-26.158	-0.284758	12.35	1.206541	-35.477000000000004	-0.286554	12.552000000000001	1.215648	-33.671	-0.286678	14.289	1.204572	-35.058	-0.298734	21.698999999999998
1.152558	-22.188	-0.242131	11.697000000000001	1.176438	-51.642	-0.220711	16.457	1.154878	-18.298	-0.24101	11.59	1.150375	-22.013	-0.23875	9.497	1.15806	-24.233999999999998	-0.237385	11.839	1.177049	-32.242	-0.240939	12.001	1.171276	-31.053	-0.237714	13.536	1.173909	-31.895	-0.250389	20.295
1.110039	-20.619	-0.197497	11.017000000000001	1.144334	-47.303	-0.197077	15.678999999999998	1.115441	-16.048	-0.19201	10.988	1.117755	-19.480999999999998	-0.192774	9.023	1.124088	-21.175	-0.190917	11.407	1.124034	-29.392000000000003	-0.196128	11.376000000000001	1.112442	-29.121000000000002	-0.196488	13.141	1.115486	-29.75	-0.210488	18.56
1.067461	-18.272	-0.149582	10.252	1.050387	-39.134	-0.165039	14.02	1.07768	-13.336	-0.148119	10.668000000000001	1.07118	-16.822	-0.149398	8.736	1.080546	-18.175	-0.146856	11.110999999999999	1.062484	-27.807	-0.147081	10.722000000000001	1.079261	-26.685	-0.148181	12.56	1.078454	-26.65	-0.168053	16.607
1.029427	-16.004	-0.102588	9.772	0.992438	-34.797000000000004	-0.124536	11.951	1.034159	-10.371	-0.101386	10.251	1.031218	-14.078	-0.099065	8.255	1.042031	-14.792	-0.103311	10.786	1.047318	-24.172	-0.103935	10.343	1.04832	-22.666	-0.105973	12.243	1.026217	-24.405	-0.12226	14.555
