B4__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p8__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p8__1.0Sun__Fw__scan0
0.878984	16.615000000000002	0.040666	19.526999999999997	0.878674	16.97	0.039722	20.122	0.87268	19.314999999999998	0.034791	22.663	0.884976	17.663	0.037407	21.453	0.873904	19.299	0.03764	22.603	0.87978	17.127	0.035345	20.492	0.879985	16.223000000000003	0.035753	19.133	0.880843	15.879000000000001	0.037706	19.178
0.829695	17.696	0.084242	19.452	0.834032	18.106	0.081466	20.023	0.830006	20.482	0.086104	22.525	0.833345	19.198	0.079869	21.353	0.830535	20.554	0.077863	22.488999999999997	0.832269	18.401	0.082039	20.374	0.831895	17.331	0.082577	19.040000000000003	0.833047	17.105	0.079257	19.088
0.780212	18.443	0.126955	19.324	0.777033	18.996	0.127778	19.901	0.783381	21.311	0.128019	22.423	0.786706	20.060000000000002	0.13131	21.188	0.779886	21.494	0.126522	22.325999999999997	0.780304	19.305	0.128901	20.239	0.778747	18.108	0.129222	18.932000000000002	0.781586	17.955	0.129609	18.971999999999998
0.732358	18.898000000000003	0.174706	19.223	0.735059	19.442	0.174037	19.779	0.733682	21.905	0.170141	22.313	0.733107	20.755	0.173396	21.087000000000003	0.734151	22.04	0.170965	22.21	0.734221	19.834	0.175643	20.108	0.732008	18.599999999999998	0.171312	18.833	0.732274	18.488	0.171122	18.873
0.683004	19.239	0.217459	19.063	0.682637	19.834	0.218121	19.652	0.686402	22.302	0.220695	22.106	0.685377	21.138	0.215749	20.957	0.686724	22.448	0.216122	22.029	0.68576	20.233	0.218526	19.953	0.683023	18.918	0.21841	18.677	0.685243	18.833	0.218085	18.768
0.6369	19.461	0.265097	18.897000000000002	0.642529	20.053	0.261983	19.497	0.641558	22.556	0.25812	21.988	0.640816	21.424	0.262195	20.828	0.637845	22.748	0.264627	21.823	0.636247	20.487	0.261776	19.830000000000002	0.642569	19.122	0.265942	18.543	0.640911	19.029	0.267081	18.613
0.590256	19.652	0.307742	18.756999999999998	0.592217	20.227999999999998	0.31036	19.310000000000002	0.590809	22.799	0.309825	21.737	0.590541	21.647	0.309608	20.633	0.592267	22.953000000000003	0.308155	21.657	0.595357	20.695	0.309003	19.626	0.591772	19.317	0.308906	18.402	0.596378	19.238000000000003	0.306409	18.504
0.547728	19.761	0.353713	18.541999999999998	0.546543	20.381	0.358223	19.071	0.54738	22.944	0.352621	21.557	0.548028	21.793	0.352137	20.47	0.550931	23.088	0.350971	21.454	0.548242	20.825	0.356054	19.409	0.545036	19.444	0.351482	18.252000000000002	0.546109	19.384999999999998	0.354661	18.3
0.49925	19.885	0.395901	18.372	0.498815	20.461	0.397471	18.936999999999998	0.498724	23.061	0.399304	21.273	0.499563	21.888	0.398785	20.25	0.496438	23.211	0.398388	21.195	0.500709	20.938	0.398543	19.23	0.501845	19.541	0.397799	18.03	0.502235	19.462	0.403204	18.116
0.456087	19.956000000000003	0.441542	18.1	0.454321	20.551	0.444301	18.63	0.454731	23.161	0.445747	20.965	0.456167	21.971	0.445057	20.015	0.456692	23.302	0.445546	20.899	0.451917	21.038	0.440655	19.012999999999998	0.453309	19.622	0.4443	17.822999999999997	0.452461	19.560000000000002	0.441927	17.963
