B9__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B9__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0	B9__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0
1.321642	-44.662	-0.503673	20.951	1.342286	-42.869	-0.499202	20.107	1.316027	-44.062	-0.500799	20.855999999999998	1.372886	-43.727000000000004	-0.500724	20.707	1.323441	-46.67700000000001	-0.501198	22.158	1.37884	-46.227	-0.502128	20.717	1.347092	-48.821000000000005	-0.491186	23.009	1.334479	-42.439	-0.504394	20.363
1.320224	-44.778	-0.457021	20.777	1.340725	-43.0	-0.462388	19.997	1.314579	-44.174	-0.459402	20.68	1.359829	-43.242000000000004	-0.461884	20.389	1.321718	-46.794000000000004	-0.459012	21.709	1.365649	-45.361	-0.46335	20.416	1.342728	-49.128	-0.461907	22.656	1.332974	-42.582	-0.460248	20.143
1.31729	-44.64	-0.414663	20.603	1.329738	-41.571999999999996	-0.411486	19.817	1.311652	-44.046	-0.412994	20.500999999999998	1.339052	-41.104	-0.418473	20.035	1.317161	-46.405	-0.421134	21.328	1.343406	-42.969	-0.414844	20.019	1.329286	-47.604	-0.420927	22.128	1.325351	-41.651	-0.415815	19.937
1.300628	-41.874	-0.367898	20.439	1.308326	-38.314	-0.368861	19.688000000000002	1.297601	-41.778000000000006	-0.370446	20.36	1.312071	-37.952	-0.370382	19.704	1.301705	-43.901	-0.372475	20.888	1.314419	-39.192	-0.369401	19.733	1.31007	-44.671	-0.37012	21.939	1.305468	-38.64	-0.368284	19.773
1.276941	-37.611	-0.321518	20.316000000000003	1.280563	-33.813	-0.321544	19.571	1.2748	-37.737	-0.322977	20.233	1.278303	-33.478	-0.325676	19.442999999999998	1.277146	-39.483	-0.322014	20.597	1.28248	-34.597	-0.322731	19.499	1.281237	-39.849000000000004	-0.324846	21.737	1.278568	-34.27	-0.320224	19.637999999999998
1.217124	-26.373	-0.279923	20.195	1.217816	-23.498	-0.278884	19.447	1.219903	-27.384999999999998	-0.275378	20.09	1.208167	-23.249	-0.281205	19.23	1.221829	-28.964	-0.280354	20.405	1.216647	-24.499	-0.280323	19.352	1.220769	-29.106	-0.284487	21.138	1.218803	-24.295	-0.276374	19.509999999999998
1.163025	-16.604	-0.234248	20.064999999999998	1.156295	-13.821	-0.231404	19.341	1.163318	-17.057	-0.232559	19.969	1.146932	-14.566	-0.232202	18.993	1.166198	-18.683999999999997	-0.23332	20.238	1.153811	-14.981	-0.233151	19.139	1.163365	-19.168999999999997	-0.235897	20.794	1.15617	-14.248999999999999	-0.232865	19.427
1.108596	-7.727	-0.188501	19.938000000000002	1.096629	-5.413	-0.188895	19.21	1.108114	-7.9590000000000005	-0.189778	19.86	1.084183	-6.784	-0.191956	18.801	1.10953	-9.219	-0.186548	20.046000000000003	1.095505	-6.962999999999999	-0.18592	18.985	1.106367	-9.941	-0.193359	20.416	1.095642	-5.619	-0.189365	19.291
1.048208	0.523	-0.142559	19.767	1.037886	1.5330000000000001	-0.141569	19.081	1.046507	0.48700000000000004	-0.143408	19.662	1.042125	-1.6869999999999998	-0.147349	18.558	1.050586	-0.9420000000000001	-0.139607	19.865000000000002	1.035998	0.064	-0.143015	18.824	1.045259	-2.047	-0.14526	20.045	1.03735	1.369	-0.14146	19.134
0.986767	6.878	-0.101678	19.646	0.991534	5.867	-0.096816	18.87	0.985958	6.71	-0.095847	19.509	0.990265	3.027	-0.098797	18.273999999999997	0.988387	5.771	-0.103172	19.734	0.993893	4.0569999999999995	-0.097345	18.585	0.992364	3.876	-0.10114	19.716	0.991398	5.738	-0.09297	18.982
