B3__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0
0.883472	12.753	0.037999	18.941	0.878705	13.483	0.031626	18.642	0.873555	13.357000000000001	0.034912	19.793000000000003	0.883181	13.572000000000001	0.032545	19.011	0.871535	15.637000000000002	0.035313	21.049	0.88452	13.716000000000001	0.033314	19.477999999999998	0.871608	13.879000000000001	0.03463	19.371	0.883411	12.442	0.033226	18.826
0.836548	14.395	0.077692	18.695	0.830655	14.966	0.077847	18.343999999999998	0.833269	14.759	0.082752	19.386	0.835175	15.171000000000001	0.081412	18.637	0.833484	16.918	0.078645	20.756	0.83824	15.318	0.081635	19.093	0.833826	15.134	0.078726	19.101	0.833108	14.027	0.079831	18.501
0.784695	15.657	0.124463	18.271	0.781915	16.022000000000002	0.123333	17.981	0.785659	15.983	0.122042	19.101	0.786306	16.308	0.125205	18.301000000000002	0.784582	18.105	0.125268	20.336	0.787335	16.567999999999998	0.12539	18.751	0.785566	16.308	0.126011	18.703	0.783244	15.26	0.126278	18.14
0.736758	16.473000000000003	0.167963	17.867	0.734158	16.741	0.167307	17.608999999999998	0.738327	16.885	0.169042	18.509	0.735146	17.146	0.168781	17.897	0.736886	18.956	0.16812	19.927	0.73483	17.442	0.168382	18.335	0.737542	17.112	0.17109	18.273999999999997	0.733941	16.114	0.171845	17.72
0.692276	17.083000000000002	0.215201	17.283	0.69049	17.271	0.21786	16.975	0.69064	17.587	0.212153	17.993	0.689534	17.698999999999998	0.216553	17.302000000000003	0.68761	19.632	0.212134	19.403	0.68778	18.05	0.216161	17.767000000000003	0.689717	17.774	0.215741	17.8	0.69502	17.02	0.21632	17.259
0.643015	17.634	0.257763	16.742	0.645677	17.689	0.264303	16.391	0.64566	18.139	0.257677	17.204	0.642683	18.13	0.260665	16.757	0.640911	20.11	0.25889	18.706	0.639794	18.526	0.258874	17.204	0.638969	18.288	0.259785	17.269	0.641805	17.6	0.260155	16.692
0.596187	18.022	0.302357	15.966999999999999	0.596258	18.088	0.305613	15.879000000000001	0.595327	18.664	0.301587	16.378	0.595136	18.513	0.303109	16.122	0.597321	20.458000000000002	0.304627	17.945	0.595252	18.892	0.300883	16.598000000000003	0.595967	18.636	0.302877	16.634	0.593273	17.737	0.303262	16.073
0.548784	18.388	0.34272	15.286	0.554003	18.336000000000002	0.348937	15.093	0.552724	19.016000000000002	0.344206	15.404	0.550507	18.794999999999998	0.344997	15.403	0.548735	20.829	0.346062	17.232	0.550158	19.189	0.345121	15.783999999999999	0.552495	18.948	0.348504	15.806000000000001	0.55945	18.251	0.348453	15.259
0.505196	18.653	0.38761	14.168	0.507309	18.603	0.394842	14.137	0.505336	19.36	0.385339	14.326	0.500413	19.087	0.391944	14.314	0.503681	21.114	0.389196	16.271	0.499395	19.480999999999998	0.391381	14.772	0.50406	19.243	0.392823	14.906	0.504465	18.599	0.387263	14.578000000000001
0.460247	18.918	0.430903	13.013	0.452265	18.879	0.438907	13.105	0.460486	19.644	0.429384	12.872	0.457037	19.274	0.434877	13.331000000000001	0.456403	21.363	0.434517	15.071	0.456887	19.699	0.434046	13.767	0.458162	19.463	0.431762	14.13	0.461688	18.811	0.429181	13.573
