B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0
0.84693	13.439	0.037906	17.45	0.924841	-28.538	0.036272	16.635	1.025934	-9.706	0.026315	16.594	0.856126	10.106	0.036367	15.945	0.841175	11.643	0.038519	15.363	0.852994	10.637	0.038235	15.549	0.842634	12.991000000000001	0.030594	16.17	0.877588	-28.987	0.024634	14.998
0.823483	13.883	0.079489	17.249	0.932766	-27.148	0.080557	16.399	1.002362	-3.292	0.073056	15.753	0.83021	11.06	0.077106	15.732	0.805642	12.706	0.079874	15.358	0.823646	11.388	0.080845	15.488	0.798832	13.333	0.076271	15.592	0.807427	-22.936	0.066948	13.927999999999999
0.780813	15.110999999999999	0.127191	16.747	0.870019	-19.816	0.124792	16.114	0.625241	-6.794	0.122858	15.093	0.787451	12.152	0.127072	15.433	0.76136	11.971	0.126242	15.265	0.784137	12.494	0.128879	15.387	0.772985	13.558	0.120885	14.966	0.769054	-20.135	0.108274	12.769
0.734993	15.745	0.168711	16.492	0.736361	-12.151	0.131982	12.811	0.874279	4.798	0.166048	14.686	0.734128	12.85	0.172079	15.177	0.737251	12.802	0.176071	15.19	0.737852	13.457	0.172252	15.270999999999999	0.730467	14.037	0.166345	14.277	0.74872	-18.462	0.159514	11.286
0.689039	16.371	0.216309	15.953999999999999	0.614443	-14.004000000000001	0.157752	7.764	0.587228	-9.972	0.212481	14.024	0.66392	11.571	0.212986	14.897	0.688592	13.526	0.220831	15.091000000000001	0.687894	14.139000000000001	0.219783	15.108	0.686572	14.38	0.210434	13.525	0.70968	-16.406	0.203853	10.014999999999999
0.637368	16.544	0.25986	15.502	0.610831	-15.77	0.351747	6.365	0.640843	-7.063	0.256435	13.161000000000001	0.63843	11.828999999999999	0.262383	14.524000000000001	0.640124	13.863999999999999	0.264493	14.937000000000001	0.643866	14.472000000000001	0.261606	14.911000000000001	0.641566	15.007	0.253653	12.666	0.677101	-13.347	0.249476	8.435
0.592348	16.845	0.310304	15.598	0.594402	-15.537	0.361798	10.074	0.633472	-3.9579999999999997	0.301645	12.383999999999999	0.588052	11.68	0.30756	14.181	0.596556	14.212000000000002	0.307666	14.749	0.595294	14.822000000000001	0.307512	14.604000000000001	0.596231	15.261000000000001	0.299479	12.041	0.628372	-10.295	0.292693	7.067
0.549502	16.948999999999998	0.354219	15.589	0.609633	-10.584	0.291472	5.446999999999999	0.603253	0.36900000000000005	0.34562	11.533	0.558391	12.338	0.344431	13.597	0.543871	14.225	0.354876	14.456999999999999	0.544549	15.007	0.352402	14.241999999999999	0.544655	15.375	0.374913	13.266	0.580388	-7.5729999999999995	0.340236	5.636
0.505199	17.369	0.389503	14.898	0.624347	-8.693	0.349377	8.751	0.47212	5.792000000000001	0.389607	10.699	0.502191	12.482	0.394908	13.287	0.499058	14.137	0.396173	14.131	0.505828	15.022	0.392492	13.873999999999999	0.505507	15.716999999999999	0.40737	13.889000000000001	0.536688	-4.556	0.378798	4.178
0.451379	17.368000000000002	0.440744	14.327	0.488228	-5.812	0.407466	5.884	0.335246	-2.4299999999999997	0.424104	9.15	0.451565	12.33	0.431217	11.893	0.456237	14.131	0.440043	13.669	0.453463	15.116	0.438953	13.289	0.449384	15.204	0.448178	13.923	0.480456	-2.666	0.42051	2.373
