B5__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B5__cTiO2_spiro__p8__1.0Sun__Fw__scan0	B5__cTiO2_spiro__p8__1.0Sun__Fw__scan0
1.39089	-55.847	-0.502699	20.343	1.390875	-47.058	-0.502745	19.382	1.390985	-56.423	-0.500945	21.105	1.394223	-47.342	-0.502573	19.625	1.393706	-51.42	-0.502896	22.061	1.393987	-48.690999999999995	-0.501157	20.122	1.391866	-54.006	-0.501431	20.509	1.39471	-48.224999999999994	-0.500033	19.46
1.383158	-54.601	-0.456144	20.305	1.379819	-45.568999999999996	-0.462961	19.347	1.382251	-54.958	-0.458646	21.082	1.382659	-45.574000000000005	-0.454993	19.579	1.38273	-49.660000000000004	-0.460049	21.998	1.382676	-46.977	-0.453287	20.073	1.382438	-52.470000000000006	-0.459025	20.483999999999998	1.381263	-46.132	-0.459681	19.423
1.362549	-50.575	-0.413089	20.256	1.356631	-41.844	-0.406464	19.281	1.363241	-51.201	-0.410039	21.034	1.359303	-41.683	-0.411992	19.546999999999997	1.361054	-45.777	-0.412179	21.945	1.360334	-43.187000000000005	-0.414551	20.049999999999997	1.361018	-48.411	-0.411327	20.436	1.359338	-42.448	-0.409986	19.381
1.308454	-39.304	-0.36981	20.205000000000002	1.327506	-37.007	-0.364732	19.246	1.336947	-45.765	-0.366501	20.996000000000002	1.33025	-36.742999999999995	-0.368516	19.5	1.334096	-40.805	-0.363493	21.906	1.332247	-38.324999999999996	-0.366245	20.008000000000003	1.305853	-37.433	-0.368132	20.375999999999998	1.330005	-37.376	-0.365127	19.361
1.258337	-29.089	-0.321401	20.166	1.266896	-26.671	-0.318089	19.202	1.279587	-33.779	-0.322798	20.922	1.267275	-25.963	-0.320234	19.453000000000003	1.272286	-29.301000000000002	-0.324749	21.871000000000002	1.267531	-26.925	-0.318143	19.953	1.254669	-27.432000000000002	-0.324701	20.35	1.265883	-26.224999999999998	-0.320145	19.299
1.20694	-19.047	-0.273469	20.087	1.208662	-16.997000000000003	-0.271704	19.151999999999997	1.224591	-22.71	-0.274274	20.891	1.205754	-15.876999999999999	-0.27646	19.415000000000003	1.214954	-18.973	-0.276674	21.808999999999997	1.208575	-16.983999999999998	-0.279247	19.935000000000002	1.20317	-17.813	-0.276666	20.285999999999998	1.208398	-16.714	-0.275186	19.265
1.152684	-9.277000000000001	-0.235098	20.044	1.145103	-7.182	-0.230339	19.11	1.168134	-12.068000000000001	-0.230588	20.820999999999998	1.146377	-6.872	-0.232882	19.379	1.154696	-8.85	-0.228191	21.747	1.149902	-7.792999999999999	-0.231382	19.88	1.148345	-8.371	-0.228235	20.243000000000002	1.148083	-7.393000000000001	-0.230475	19.226
1.098436	-0.7010000000000001	-0.186955	19.994	1.088644	0.53	-0.184152	19.034	1.109081	-2.2279999999999998	-0.187348	20.779	1.088461	0.923	-0.185156	19.305	1.096962	-0.16899999999999998	-0.190086	21.691	1.091212	0.354	-0.188095	19.834999999999997	1.094436	-0.214	-0.189747	20.192	1.087525	0.791	-0.182098	19.154
1.041379	6.5729999999999995	-0.13859	19.900000000000002	1.040301	6.035	-0.137886	18.971999999999998	1.048426	6.061000000000001	-0.14434	20.698999999999998	1.035662	6.798	-0.141804	19.259999999999998	1.03959	7.0569999999999995	-0.142091	21.618	1.034738	6.831	-0.14034	19.771	1.03687	6.856	-0.141256	20.133000000000003	1.03847	6.28	-0.145287	19.142
0.986683	11.556000000000001	-0.100969	19.863	0.99096	10.472	-0.096263	18.895	0.984101	12.231	-0.096239	20.619	0.990196	10.722000000000001	-0.098771	19.186999999999998	0.988725	11.979999999999999	-0.094658	21.541	0.989511	10.828000000000001	-0.096999	19.697	0.989519	11.142000000000001	-0.094574	20.080000000000002	0.992766	10.305	-0.100345	19.044999999999998
