B7__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0
0.785148	15.124	0.12262	17.212000000000003	0.787326	13.953	0.128752	16.503	0.787538	15.710999999999999	0.127119	18.064	0.791239	12.271	0.123271	16.407999999999998	0.788216	17.179	0.12775	19.793000000000003	0.766907	-0.517	0.131992	-1.006	0.57779	-105.63	0.083485	10.349
0.738238	15.941	0.168284	16.775000000000002	0.740291	14.775	0.169182	16.17	0.736276	16.612	0.171091	17.692	0.739391	13.446	0.164797	15.911999999999999	0.738215	18.064	0.167184	19.419999999999998	0.700888	-2.539	0.177942	-5.930000000000001	0.575587	-105.78999999999999	0.113966	5.909
0.689118	16.597	0.210375	16.387999999999998	0.687678	15.519	0.216143	15.615	0.686237	17.259	0.214288	17.271	0.692296	14.273	0.21492	15.109	0.690562	18.943	0.213343	18.838	0.650557	-4.881	0.248262	-7.85	0.569297	-106.262	0.183317	-4.98
0.642493	17.081	0.261519	15.667	0.641144	16.006	0.258573	15.102	0.643709	17.679000000000002	0.256945	16.761000000000003	0.647774	14.886999999999999	0.256692	14.46	0.643857	19.497	0.258804	18.183999999999997	0.628964	-5.3740000000000006	0.289692	-6.123	0.569234	-106.27300000000001	0.233687	-14.758000000000001
0.595187	17.483999999999998	0.304043	15.081000000000001	0.59722	16.357	0.300077	14.512	0.595695	18.091	0.30235	16.11	0.598287	15.492	0.300801	13.565000000000001	0.594116	19.825	0.29947	17.561	0.604096	-4.247	0.386858	-0.203	0.568586	-106.33099999999999	0.281989	-24.669
0.551255	17.75	0.345632	14.39	0.549387	16.706	0.344092	13.733	0.551162	18.41	0.34651	15.385	0.551717	15.966999999999999	0.343581	12.612	0.545196	19.834	0.345766	16.624	0.548571	-3.572	0.397918	1.002	0.562721	-105.279	0.326043	-34.753
0.504198	18.002	0.389623	13.491	0.50506	17.016	0.390129	12.779	0.501816	18.683000000000003	0.389764	14.553	0.504311	16.347	0.38858	11.433	0.488829	19.286	0.388286	15.743	0.535501	-0.85	0.403115	1.407	0.547163	-101.69	0.366042	-45.169000000000004
0.456901	18.248	0.435476	12.403	0.45826	17.206	0.432351	11.863999999999999	0.456697	18.897000000000002	0.431216	13.664000000000001	0.458207	16.711	0.429554	10.328000000000001	0.473206	20.692	0.432284	14.607999999999999	0.488761	1.397	0.429098	0.124	0.522226	-96.592	0.40743	-55.775
0.408884	18.419999999999998	0.47684	11.370999999999999	0.413217	17.503999999999998	0.475472	10.761	0.41468	19.069	0.47766	12.425	0.412116	17.04	0.473031	8.924	0.408043	20.604	0.475347	13.405000000000001	0.441839	3.615	0.466924	-1.717	0.468779	-84.802	0.450524	-66.437
0.360654	18.596	0.51864	10.168999999999999	0.366601	17.697	0.52041	9.414	0.363731	19.287	0.51993	11.251000000000001	0.365367	17.297	0.516212	7.437	0.369658	21.066000000000003	0.517055	12.120000000000001	0.3985	6.071	0.481731	-5.644	0.417	-73.38300000000001	0.487413	-77.581
