#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.030001,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.378156,-0.082970
1.374413,-0.082825
1.358285,-0.079286
1.337323,-0.074099
1.289957,-0.061788
1.240817,-0.048963
1.191357,-0.036598
1.141362,-0.025062
1.086072,-0.013908
1.025821,-0.004048
0.956279,0.004233
0.892987,0.009104
0.853810,0.010968
0.825892,0.011815
0.783710,0.013067
0.740496,0.013886
0.688528,0.014645
0.644204,0.014935
0.590321,0.015207
0.547109,0.015208
0.503939,0.015194
0.454949,0.015228
0.404296,0.015235
0.363582,0.015237
0.318031,0.015270
0.272100,0.015287
0.231905,0.015324
0.181386,0.015351
0.136232,0.015406
0.097955,0.015426
0.050061,0.015489
0.001939,0.015546
-0.040911,0.015609
-0.083809,0.015691
-0.126364,0.015751
-0.174006,0.015840
-0.221761,0.015913
-0.264361,0.016020
-0.311985,0.016132
-0.354735,0.016227
-0.402217,0.016323
-0.444524,0.016436
-0.486978,0.016531
-0.538217,0.016671
NaN,NaN
-0.499728,0.016660
-0.456685,0.016630
-0.413083,0.016601
-0.364418,0.016593
-0.321231,0.016542
-0.277623,0.016508
-0.234271,0.016453
-0.185956,0.016403
-0.137689,0.016358
-0.099314,0.016317
-0.051478,0.016262
-0.008713,0.016206
0.039107,0.016144
0.081933,0.016084
0.129690,0.016020
0.173523,0.015949
0.223261,0.015838
0.262972,0.015751
0.311586,0.015587
0.355131,0.015383
0.398347,0.015171
0.440305,0.014891
0.484946,0.014490
0.526559,0.014030
0.574835,0.013345
0.614944,0.012731
0.656999,0.011947
0.701323,0.010901
0.744676,0.009779
0.790148,0.008384
0.831468,0.007041
0.873685,0.005412
0.916017,0.003443
0.955732,0.001271
0.994072,-0.001292
1.033361,-0.004568
1.070837,-0.008316
1.109476,-0.012867
1.184220,-0.022540
1.239583,-0.031459
1.283288,-0.040483
1.320338,-0.050096
1.356709,-0.060813
1.387578,-0.071684
NaN,NaN
