#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.570000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.367163,-0.098400
1.367877,-0.099864
1.353654,-0.096726
1.334319,-0.091276
1.291722,-0.077923
1.251536,-0.064773
1.209080,-0.051239
1.163679,-0.037653
1.114238,-0.024362
1.058734,-0.011857
0.994765,-0.000879
0.918278,0.007683
0.841271,0.012655
0.806129,0.013712
0.778642,0.014247
0.737579,0.015223
0.689338,0.015945
0.641666,0.016290
0.594768,0.016356
0.543159,0.016381
0.502719,0.016200
0.455031,0.016181
0.410697,0.016150
0.361132,0.016179
0.320487,0.016152
0.270911,0.016161
0.230802,0.016176
0.186205,0.016192
0.137041,0.016248
0.092583,0.016261
0.050287,0.016299
0.007919,0.016333
-0.039371,0.016376
-0.086100,0.016458
-0.128742,0.016483
-0.175362,0.016586
-0.218522,0.016623
-0.266112,0.016719
-0.309639,0.016767
-0.356976,0.016858
-0.399857,0.016944
-0.442507,0.017034
-0.490119,0.017128
-0.536159,0.017225
NaN,NaN
-0.503753,0.017199
-0.455350,0.017171
-0.411984,0.017126
-0.368567,0.017109
-0.320675,0.017057
-0.277051,0.017033
-0.228673,0.016975
-0.189564,0.016941
-0.142619,0.016902
-0.095679,0.016819
-0.052940,0.016807
-0.010643,0.016740
0.040738,0.016662
0.083052,0.016611
0.126099,0.016550
0.174344,0.016432
0.218183,0.016346
0.266043,0.016177
0.309509,0.016062
0.352208,0.015858
0.397918,0.015570
0.439042,0.015325
0.484983,0.014859
0.527467,0.014461
0.571160,0.013822
0.614513,0.013158
0.656257,0.012382
0.700465,0.011319
0.747225,0.010020
0.789964,0.008788
0.831149,0.007434
0.873240,0.005776
0.915487,0.003788
0.954684,0.001621
0.994741,-0.001221
1.032876,-0.004554
1.069273,-0.008434
1.105745,-0.013090
1.178834,-0.023180
1.234398,-0.032642
1.275808,-0.042084
1.311477,-0.052393
1.344185,-0.063875
1.373305,-0.076035
NaN,NaN
