#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.690001,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.367319,-0.079663
1.368230,-0.080778
1.351881,-0.077772
1.330492,-0.072667
1.284223,-0.060517
1.237097,-0.048581
1.188749,-0.036639
1.139664,-0.025336
1.083625,-0.014246
1.025810,-0.004676
0.955355,0.003294
0.892825,0.008177
0.856672,0.010082
0.827690,0.011119
0.793135,0.012425
0.743995,0.013775
0.693560,0.014606
0.641298,0.015143
0.591912,0.015487
0.543777,0.015572
0.500508,0.015616
0.456842,0.015692
0.408060,0.015696
0.363985,0.015714
0.319815,0.015724
0.275898,0.015732
0.227176,0.015745
0.183167,0.015756
0.138750,0.015750
0.094755,0.015770
0.050305,0.015806
0.001707,0.015837
-0.041934,0.015876
-0.085758,0.015910
-0.129151,0.015960
-0.177754,0.015999
-0.220828,0.016080
-0.269033,0.016132
-0.306645,0.016198
-0.353879,0.016278
-0.400816,0.016350
-0.448224,0.016426
-0.490514,0.016493
-0.537421,0.016620
NaN,NaN
-0.499507,0.016544
-0.457033,0.016489
-0.414280,0.016412
-0.367022,0.016353
-0.325100,0.016269
-0.277679,0.016223
-0.229789,0.016148
-0.186547,0.016075
-0.143263,0.016014
-0.095110,0.015966
-0.051909,0.015889
-0.003501,0.015805
0.039793,0.015730
0.083492,0.015654
0.126590,0.015562
0.173733,0.015436
0.220925,0.015276
0.258244,0.015143
0.308966,0.014887
0.349806,0.014652
0.399016,0.014272
0.438965,0.013944
0.486246,0.013442
0.528661,0.012931
0.574654,0.012285
0.615560,0.011680
0.662505,0.010797
0.701056,0.010128
0.748187,0.009038
0.788013,0.008139
0.835993,0.006733
0.876593,0.005458
0.918419,0.003864
0.959838,0.001803
0.999689,-0.000693
1.037642,-0.003766
1.073280,-0.007314
1.108495,-0.011579
1.178934,-0.021569
1.233418,-0.031002
1.275725,-0.040577
1.310607,-0.050872
1.344171,-0.061726
1.376873,-0.073939
NaN,NaN
