#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 7:58:09 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[22.250000,27.350000
] °C
##Environment temperature:	[22.549999,24.049999
] °C
##Humidity:	[55.950001,54.459999
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.394710,-0.048225
1.381263,-0.046132
1.359338,-0.042448
1.330005,-0.037376
1.265883,-0.026225
1.208398,-0.016714
1.148083,-0.007393
1.087525,0.000791
1.038470,0.006280
0.992766,0.010305
0.943262,0.013412
0.917829,0.014562
0.875924,0.016002
0.829441,0.017060
0.778470,0.017774
0.729138,0.018270
0.684359,0.018553
0.640718,0.018749
0.593003,0.018911
0.548659,0.019049
0.503819,0.019129
0.458904,0.019202
0.412538,0.019276
0.362655,0.019332
0.322489,0.019359
0.272350,0.019400
0.227117,0.019432
0.181272,0.019422
0.135997,0.019467
0.095125,0.019454
0.048954,0.019477
0.007032,0.019455
-0.038860,0.019480
-0.085233,0.019477
-0.127071,0.019481
-0.173273,0.019472
-0.221988,0.019484
-0.267302,0.019486
-0.317841,0.019491
-0.358453,0.019477
-0.403718,0.019480
-0.448498,0.019504
-0.489498,0.019463
-0.538574,0.019486
NaN,NaN
-0.500033,0.019460
-0.459681,0.019423
-0.409986,0.019381
-0.365127,0.019361
-0.320145,0.019299
-0.275186,0.019265
-0.230475,0.019226
-0.182098,0.019154
-0.145287,0.019142
-0.100345,0.019045
-0.054311,0.019011
-0.009562,0.018910
0.035973,0.018844
0.081043,0.018758
0.130133,0.018647
0.174785,0.018547
0.223637,0.018419
0.263030,0.018323
0.311682,0.018171
0.355402,0.018021
0.398699,0.017867
0.438893,0.017698
0.485835,0.017425
0.528538,0.017193
0.574347,0.016848
0.615751,0.016537
0.663648,0.015943
0.705948,0.015369
0.753358,0.014357
0.791334,0.013431
0.833310,0.011981
0.877728,0.009982
0.913158,0.008170
0.953613,0.005550
0.991239,0.002747
1.028525,-0.000451
1.068809,-0.004364
1.151082,-0.013580
1.210236,-0.020460
1.253749,-0.025706
1.300400,-0.031514
1.345705,-0.037673
1.391150,-0.044592
1.430820,-0.051779
NaN,NaN
