#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:03:48 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.570000,28.049999
] °C
##Environment temperature:	[23.299999,24.639999
] °C
##Humidity:	[53.560001,52.680000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.369661,-0.098084
1.370283,-0.099174
1.354941,-0.095699
1.334408,-0.089874
1.291328,-0.076812
1.249516,-0.063506
1.205904,-0.049999
1.160204,-0.036823
1.110120,-0.024004
1.052188,-0.011732
0.987147,-0.001412
0.908904,0.006785
0.848088,0.010699
0.809945,0.012251
0.777870,0.013180
0.741358,0.014112
0.693069,0.015254
0.645432,0.015707
0.591861,0.016031
0.546146,0.015881
0.496291,0.015772
0.455256,0.015598
0.406196,0.015571
0.365485,0.015515
0.320109,0.015514
0.270635,0.015566
0.229805,0.015491
0.184904,0.015526
0.135409,0.015553
0.095273,0.015506
0.051963,0.015600
0.003561,0.015588
-0.043785,0.015689
-0.082708,0.015682
-0.130371,0.015744
-0.173212,0.015804
-0.220954,0.015876
-0.263226,0.015936
-0.309520,0.016067
-0.357270,0.016124
-0.398813,0.016211
-0.446088,0.016300
-0.487980,0.016408
-0.535339,0.016489
NaN,NaN
-0.503072,0.016341
-0.460341,0.016317
-0.413733,0.016213
-0.366213,0.016177
-0.318824,0.016119
-0.280759,0.016079
-0.233793,0.015988
-0.186605,0.015900
-0.138690,0.015839
-0.100507,0.015784
-0.053481,0.015697
-0.005728,0.015643
0.037369,0.015592
0.084174,0.015478
0.128744,0.015432
0.176461,0.015258
0.216749,0.015256
0.263345,0.015019
0.310897,0.014841
0.350667,0.014789
0.400237,0.014362
0.441903,0.014227
0.485070,0.013821
0.527775,0.013358
0.569949,0.012908
0.616473,0.012021
0.660114,0.011326
0.702339,0.010414
0.745926,0.009283
0.788971,0.008108
0.832867,0.006619
0.875931,0.005056
0.916590,0.003307
0.956397,0.001132
0.995055,-0.001540
1.033766,-0.004930
1.070430,-0.008814
1.105262,-0.013227
1.182472,-0.023269
1.240238,-0.032189
1.284659,-0.041029
1.322377,-0.050789
1.354962,-0.061306
1.383465,-0.072714
NaN,NaN
