#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.790001,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.307341,-0.049930
1.306172,-0.050031
1.304871,-0.050119
1.294284,-0.048045
1.275709,-0.044060
1.226213,-0.032941
1.174504,-0.021807
1.123234,-0.011839
1.065516,-0.002281
0.999404,0.005661
0.942191,0.010900
0.899332,0.013430
0.875530,0.014461
0.837370,0.015889
0.788216,0.017179
0.738215,0.018064
0.690562,0.018943
0.643857,0.019497
0.594116,0.019825
0.545196,0.019834
0.488829,0.019286
0.473206,0.020692
0.408043,0.020604
0.369658,0.021066
0.323571,0.021261
0.275338,0.021306
0.230306,0.021628
0.187766,0.021773
0.139960,0.021878
0.092105,0.022012
0.048991,0.022077
0.005164,0.022154
-0.042699,0.022217
-0.081350,0.022242
-0.134552,0.022310
-0.178238,0.022346
-0.216454,0.022387
-0.268574,0.022430
-0.311515,0.022477
-0.354531,0.022482
-0.401791,0.022559
-0.443625,0.022687
-0.488876,0.022967
-0.531078,0.023495
NaN,NaN
-0.503536,0.023376
-0.458493,0.023022
-0.414245,0.022696
-0.369683,0.022422
-0.328735,0.022237
-0.278410,0.022046
-0.232306,0.021874
-0.190821,0.021746
-0.139915,0.021538
-0.102495,0.021380
-0.052088,0.021106
-0.006328,0.020863
0.034434,0.020589
0.079025,0.020247
0.127750,0.019793
0.167184,0.019420
0.213343,0.018838
0.258804,0.018184
0.299470,0.017561
0.345766,0.016624
0.388286,0.015743
0.432284,0.014608
0.475347,0.013405
0.517055,0.012120
0.560619,0.010562
0.605946,0.008759
0.646664,0.007161
0.688754,0.005326
0.732368,0.003270
0.775487,0.001145
0.820618,-0.001266
0.862796,-0.003625
0.907840,-0.006478
0.949282,-0.009259
0.991370,-0.012358
1.033879,-0.015687
1.076232,-0.019031
1.119166,-0.022354
1.167693,-0.025999
1.211171,-0.029300
1.253124,-0.033114
1.286857,-0.037494
1.350325,-0.046680
1.330610,-0.048154
NaN,NaN
